证书签发完成,"Certificate Issued"
"当 SSL 证书成功签发后触发，允许其他模块监听并处理证书签发后的逻辑，如同步 HTTPS 状态。","Triggered when SSL certificate is successfully issued. Allows other modules to listen and handle post-issuance logic, such as syncing HTTPS status."
证书禁用,"Certificate Disabled"
"当 HTTPS 被禁用或证书失效时触发，允许其他模块监听并回退 HTTPS 状态。","Triggered when HTTPS is disabled or certificate becomes invalid. Allows other modules to listen and rollback HTTPS status."
证书已删除,"Certificate deleted"
"当 SSL 证书被删除时触发，允许其他模块清除关联的 HTTPS 状态、可建站状态等。","Triggered when an SSL certificate is deleted, allowing other modules to clear associated HTTPS status, site-building status, etc."
证书更新,"Certificate Renewed"
"当 SSL 证书续签或更新时触发，允许其他模块监听并处理证书更新后的逻辑。","Triggered when SSL certificate is renewed. Allows other modules to listen and handle post-renewal logic."
"WLS Master 复活失败","WLS Master Resurrection Failed"
"当 Master 进程异常退出后，子进程尝试复活三次均失败时触发；Worker 继续服务，需人工执行 server:start 或 server:restart。","Triggered when the Master process exits abnormally and child processes fail to revive after three attempts; Workers continue serving, manual execution of server:start or server:restart is required."
请求域名列表,"Request Domain List"
"当 Server 模块需要获取可选域名列表时触发，允许其他模块（如 Websites）提供域名数据。","Triggered when Server module needs to get available domain list. Allows other modules (like Websites) to provide domain data."
安全规则更新,"Security rules updated"
"当 WLS 安全规则保存后触发，允许 CDN 模块同步边缘防护规则。","Triggered after WLS security rules are saved, allowing the CDN module to sync edge protection rules."
维护模式状态查询,"Maintenance mode status query"
"由 Framework 触发，用于查询 WLS 运行时维护模式状态。","Triggered by Framework to query the WLS runtime maintenance mode status."
维护模式状态设置,"Maintenance mode status setting"
"由 Framework 触发，用于在 WLS 运行时设置维护模式状态。","Triggered by Framework to set the maintenance mode status during WLS runtime."
"Session query provider unsupported operation: %{1}","Session query provider unsupported operation: %{1}"
"Session Query","Session Query"
"Unified shared session facade query entry","Unified shared session facade query entry"
"Read session data","Read session data"
"Write full session payload","Write full session payload"
"Destroy session","Destroy session"
"Check session exists","Check session exists"
"Touch session ttl","Touch session ttl"
"List sessions","List sessions"
"Run session gc","Run session gc"
"Persist session store","Persist session store"
