分销分享链接已创建,"Affiliate share link created"
"分销模块生成新的商品分享码后触发，负载包含 share、affiliate_id、customer_id、product_id、share_code。","分销模块生成新的商品分享码后触发，负载包含 share、affiliate_id、customer_id、product_id、share_code。"
分销分享已发出,"Affiliate share sent"
"用户复制链接、二维码或社交平台分享后触发，负载包含 share、touch、share_code、platform。","用户复制链接、二维码或社交平台分享后触发，负载包含 share、touch、share_code、platform。"
分销分享被点击,"Affiliate share clicked"
"分享跳转链接被点击后触发，负载包含 share、touch、attribution、share_code、product_id、target_url。","分享跳转链接被点击后触发，负载包含 share、touch、attribution、share_code、product_id、target_url。"
分销归因已开始,"Affiliate attribution started"
"有效点击写入 30 天末触归因后触发，负载包含 share、attribution、customer_id、visitor_key、expires_at。","有效点击写入 30 天末触归因后触发，负载包含 share、attribution、customer_id、visitor_key、expires_at。"
分销互动已记录,"Affiliate engagement recorded"
"有效归因下发生浏览、收藏、加购、评价等互动后触发，负载包含 event_type、touch、attribution。","有效归因下发生浏览、收藏、加购、评价等互动后触发，负载包含 event_type、touch、attribution。"
分销转化待确认,"Affiliate conversion pending"
"订单创建后生成待结算佣金流水时触发，负载包含 order_id、customer_id、attribution、commissions。","订单创建后生成待结算佣金流水时触发，负载包含 order_id、customer_id、attribution、commissions。"
分销佣金流水已创建,"Affiliate commission ledger created"
"订单项级佣金流水创建后触发，负载包含 commission、order_id、affiliate_id、status。","订单项级佣金流水创建后触发，负载包含 commission、order_id、affiliate_id、status。"
分销佣金状态已变更,"Affiliate commission status changed"
"支付、取消、退款导致佣金状态变化后触发，负载包含 commission、order_id、old_status、new_status、reason。","支付、取消、退款导致佣金状态变化后触发，负载包含 commission、order_id、old_status、new_status、reason。"
分销奖励请求,"Affiliate reward requested"
"预留给优惠券、积分、通知等模块监听的奖励扩展入口。Affiliate 第一版不内置默认奖励实现。","预留给优惠券、积分、通知等模块监听的奖励扩展入口。Affiliate 第一版不内置默认奖励实现。"
分销查询器不支持该操作：%{1},"Affiliate query provider does not support this operation: %{1}"
推广链接已生成。,"Promotion link generated."
"缺少商品 ID。","Product ID is required."
分享链接已生成。,"Share link generated."
缺少分享码或分享平台。,"Share code or platform is required."
分享动作已记录。,"Share action recorded."
提现申请已提交。,提现申请已提交。
分销数据已加载。,"Affiliate data loaded."
请先登录。,"Please log in."
分销查询,"Affiliate Query"
提供商品分享链接、分享动作记录和分销数据汇总。,"Provides product share links, outbound share recording, and affiliate summaries."
为当前分销用户生成或复用商品分享链接。,"Generate or reuse a product share link for the current affiliate user."
记录复制链接、二维码或社交平台发出分享动作。,"Record outbound share actions such as copied links, QR codes, or social shares."
为当前分销用户生成首页或自定义站内页面推广链接。,"Generate a homepage or custom on-site promotion link for the current affiliate user."
返回当前分销用户的分享、转化和佣金汇总。,"Return share, conversion, and commission summary for the current affiliate user."
提交当前分销用户的佣金提现申请，并保留提现记录。,提交当前分销用户的佣金提现申请，并保留提现记录。
分销后台接口不支持操作：%{1},"Affiliate admin query provider does not support this operation: %{1}"
分销后台服务暂时不可用。,"Affiliate admin service is temporarily unavailable."
万能分销后台,"Universal affiliate admin"
"读取分销账户摘要与分页列表，供后台浏览器 API 使用。","Read affiliate account summaries and paginated lists for backend browser APIs."
"Account affiliate section","Account affiliate section"
"Inject affiliate summary and referral tools into the storefront customer account center.","Inject affiliate summary and referral tools into the storefront customer account center."
"Please log in to continue.","Please log in to continue."
分享链接无效或已过期。,"The share link is invalid or expired."
分销配置,分销配置
settings,settings
分销店面展示启用与关闭,分销店面展示启用与关闭
查看分销配置,查看分销配置
查看分销店面展示配置,查看分销店面展示配置
"Affiliate Management","Affiliate Management"
万能分销,"Universal affiliate"
"mdi mdi-account-tie-outline","mdi mdi-account-tie-outline"
"Manage affiliate records","Manage affiliate records"
"View affiliates","View affiliates"
"mdi mdi-account-search-outline","mdi mdi-account-search-outline"
"View affiliate management page","View affiliate management page"
"Invalid affiliate ID.","Invalid affiliate ID."
"Affiliate not found.","Affiliate not found."
"Affiliate Details","Affiliate Details"
"Affiliate view actions","Affiliate view actions"
"mdi mdi-eye-outline","mdi mdi-eye-outline"
"View affiliate details","View affiliate details"
"View affiliate detail","View affiliate detail"
"mdi mdi-eye","mdi mdi-eye"
"View affiliate detail page","View affiliate detail page"
"删除分销记录必须使用 POST 请求。","删除分销记录必须使用 POST 请求。"
"Affiliate deleted successfully.","Affiliate deleted successfully."
"Failed to delete affiliate.","Failed to delete affiliate."
"Affiliate delete actions","Affiliate delete actions"
"mdi mdi-account-remove-outline","mdi mdi-account-remove-outline"
"Delete affiliate records","Delete affiliate records"
"Open affiliate delete route","Open affiliate delete route"
"Delete affiliate","Delete affiliate"
