无效的请求方法,"Invalid request method"
执行失败：%{error},"Execution failed: %{error}"
DNS记录类型不合法,"Invalid DNS record type"
DNS记录类型不能为空,"DNS record type is required"
DNS记录值不能为空,"DNS record value is required"
请选择供应商,"Please select a provider"
请选择账户,"Please select an account"
供应商不存在：%{provider},"Provider not found: %{provider}"
账户不存在,"Account not found"
账户与供应商不匹配,"Account does not match provider"
手动输入域名时必须选择网站,"Please select a website when entering domains manually"
请输入域名或选择网站,"Please enter domains or select websites"
本批次包含已绑定域名或已绑定网站，是否确认替换绑定？,"This batch contains already bound domains/sites. Replace bindings?"
批次创建失败,"Failed to create batch"
暂不支持该供应商,"Provider not supported yet"
"Cloudflare 账户缺少 API Token 或 Account ID","Cloudflare account missing API Token or Account ID"
"Terraform 执行失败：%{message}","Terraform failed: %{message}"
批量绑定已完成,"Batch bind completed"
"Terraform 未安装或不可用","Terraform is not installed or unavailable"
初始化失败,"Initialization failed"
应用失败,"Apply failed"
输出失败,"Output failed"
"解析 Terraform 输出失败","Failed to parse Terraform output"
%{prefix}：%{detail},%{prefix}：%{detail}
Terraform批量绑定,"Terraform Batch Bind"
首页,Home
CDN管理,"CDN Management"
批量绑定,"Batch Bind"
供应商,Provider
先选择供应商，再选择账户,"Select a provider first, then choose an account"
供应商账户,"Provider Account"
账户只属于一个供应商,"Each account belongs to one provider"
DNS记录,"DNS Record"
不创建记录,"Do not create record"
如需创建解析记录，请选择类型并填写值,"Choose a type and value to create DNS records"
手动输入,"Manual Input"
选择网站,"Select Websites"
绑定网站,"Bind Website"
请选择网站,"Please select a website"
域名列表,"Domain List"
网站名称,"Website Name"
网站地址,"Website URL"
选择网站后将使用其URL解析域名,"Website URL will be parsed into domains"
开始批量绑定,"Start Batch Bind"
执行结果,"Execution Result"
"记录值，如 example.cdn.com 或 1.2.3.4","Record value, e.g. example.cdn.com or 1.2.3.4"
"每行一个域名，例如 example.com","One domain per line, e.g. example.com"
"批次完成：共 %{total} 个，成功 %{success} 个，失败 %{failed} 个，跳过 %{skipped} 个","Batch completed: total %{total}, success %{success}, failed %{failed}, skipped %{skipped}"
"Zone ID","Zone ID"
"Name Servers","Name Servers"
正在执行，请稍候...,"Running, please wait..."
检测到已绑定域名，是否继续替换？,"Detected bound domains. Continue to replace?"
确认替换,"Confirm Replace"
确认,Confirm
取消,Cancel
批量绑定成功,"Batch bind succeeded"
执行失败，请检查输入,"Execution failed, please check input"
请求失败，请稍后重试,"Request failed, please try again later"
