# ISO country_code — default sellable markets for carrier coverage + lane seeds
# Excludes system-embargo territories (AQ/BV/GS/HM/TF/UM/KP).
# Origin assumption: ship-from China (CN). Fees calibrated to China-outbound economy parcel (跨境经济小包) CNY.
# lane: domestic | greater_china | asia_pacific | americas | europe | middle_east_africa | latam | oceania | other
# sort_order: hot position for Region.sort_order seed + checkout postal multi-country (lower = earlier).
country_code	lane	sort_order
CN	domestic	10
HK	greater_china	20
MO	greater_china	30
TW	greater_china	40
US	americas	50
CA	americas	60
GB	europe	70
DE	europe	80
JP	asia_pacific	90
AU	oceania	100
FR	europe	110
KR	asia_pacific	120
SG	asia_pacific	130
MY	asia_pacific	140
TH	asia_pacific	150
VN	asia_pacific	160
ID	asia_pacific	170
PH	asia_pacific	180
IN	asia_pacific	190
MX	americas	200
BR	latam	210
AR	latam	220
CL	latam	230
CO	latam	240
PE	latam	250
IE	europe	260
IT	europe	270
ES	europe	280
NL	europe	290
BE	europe	300
AT	europe	310
CH	europe	320
SE	europe	330
NO	europe	340
DK	europe	350
FI	europe	360
PT	europe	370
PL	europe	380
CZ	europe	390
HU	europe	400
RO	europe	410
GR	europe	420
NZ	oceania	430
AE	middle_east_africa	440
SA	middle_east_africa	450
IL	middle_east_africa	460
TR	middle_east_africa	470
EG	middle_east_africa	480
ZA	middle_east_africa	490
NG	middle_east_africa	500
KE	middle_east_africa	510
RU	other	520
KZ	other	530
UA	other	540
BY	other	550
AD	europe	560
AF	other	570
AG	latam	580
AI	latam	590
AL	europe	600
AM	other	610
AO	middle_east_africa	620
AS	asia_pacific	630
AW	latam	640
AX	europe	650
AZ	other	660
BA	europe	670
BB	latam	680
BD	asia_pacific	690
BF	middle_east_africa	700
BG	europe	710
BH	middle_east_africa	720
BI	middle_east_africa	730
BJ	middle_east_africa	740
BL	latam	750
BM	americas	760
BN	asia_pacific	770
BO	latam	780
BQ	latam	790
BS	latam	800
BT	asia_pacific	810
BW	middle_east_africa	820
BZ	latam	830
CC	asia_pacific	840
CD	middle_east_africa	850
CF	middle_east_africa	860
CG	middle_east_africa	870
CI	middle_east_africa	880
CK	asia_pacific	890
CM	middle_east_africa	900
CR	latam	910
CU	latam	920
CV	middle_east_africa	930
CW	latam	940
CX	asia_pacific	950
CY	europe	960
DJ	middle_east_africa	970
DM	latam	980
DO	latam	990
DZ	middle_east_africa	1000
EC	latam	1010
EE	europe	1020
EH	latam	1030
ER	middle_east_africa	1040
ET	middle_east_africa	1050
FJ	asia_pacific	1060
FK	latam	1070
FM	asia_pacific	1080
FO	europe	1090
GA	middle_east_africa	1100
GD	latam	1110
GE	other	1120
GF	latam	1130
GG	europe	1140
GH	middle_east_africa	1150
GI	europe	1160
GL	americas	1170
GM	middle_east_africa	1180
GN	middle_east_africa	1190
GP	latam	1200
GQ	middle_east_africa	1210
GT	latam	1220
GU	asia_pacific	1230
GW	middle_east_africa	1240
GY	latam	1250
HN	latam	1260
HR	europe	1270
HT	latam	1280
IM	europe	1290
IO	asia_pacific	1300
IQ	middle_east_africa	1310
IR	middle_east_africa	1320
IS	europe	1330
JE	europe	1340
JM	latam	1350
JO	middle_east_africa	1360
KG	other	1370
KH	asia_pacific	1380
KI	asia_pacific	1390
KM	middle_east_africa	1400
KN	latam	1410
KW	middle_east_africa	1420
KY	latam	1430
LA	asia_pacific	1440
LB	middle_east_africa	1450
LC	latam	1460
LI	europe	1470
LK	asia_pacific	1480
LR	middle_east_africa	1490
LS	middle_east_africa	1500
LT	europe	1510
LU	europe	1520
LV	europe	1530
LY	middle_east_africa	1540
MA	middle_east_africa	1550
MC	europe	1560
MD	europe	1570
ME	europe	1580
MF	latam	1590
MG	middle_east_africa	1600
MH	asia_pacific	1610
MK	europe	1620
ML	middle_east_africa	1630
MM	asia_pacific	1640
MN	asia_pacific	1650
MP	asia_pacific	1660
MQ	latam	1670
MR	middle_east_africa	1680
MS	latam	1690
MT	europe	1700
MU	middle_east_africa	1710
MV	asia_pacific	1720
MW	middle_east_africa	1730
MZ	middle_east_africa	1740
NA	middle_east_africa	1750
NC	asia_pacific	1760
NE	middle_east_africa	1770
NF	asia_pacific	1780
NI	latam	1790
NP	asia_pacific	1800
NR	asia_pacific	1810
NU	asia_pacific	1820
OM	middle_east_africa	1830
PA	latam	1840
PF	asia_pacific	1850
PG	asia_pacific	1860
PK	asia_pacific	1870
PM	latam	1880
PN	asia_pacific	1890
PR	americas	1900
