存储配置变更,"Storage configuration changes"
存储配置新增、修改或删除后触发。,"Triggered after storage configuration is added, modified or deleted."
本地存储单对象字节上限无效。,"The local storage per-object byte limit is invalid."
本地存储根目录不能为空。,"The local storage root directory cannot be empty."
无法创建本地存储根目录。,"Unable to create local storage root directory."
无法解析本地存储根目录。,"Unable to resolve local storage root directory."
本地存储根目录不能是文件系统根目录。,"The local storage root cannot be a filesystem root."
无法打开存储对象读取流。,"Unable to open storage object read stream."
目标存储对象已存在。,"The target storage object already exists."
无法打开上传临时文件。,"Unable to open upload temporary file."
设置本地存储对象权限失败。,"Failed to set permissions on the local storage object."
提交本地存储对象失败。,"Failed to submit local storage object."
目标存储对象已存在或无法原子提交。,"The target storage object already exists or could not be committed atomically."
本地存储目标目录无效。,"The local storage target directory is invalid."
本地存储路径不允许符号链接。,"Symbolic links are not allowed in local storage paths."
存储写入字节上限无效。,"The storage write byte limit is invalid."
无法读取本地存储对象统计。,"Unable to read local storage object statistics."
复制存储对象时连续无数据进展。,"No progress was made while copying the storage object."
目标存储对象已存在或无法原子移动。,"The target storage object already exists or could not be moved atomically."
移动源对象失败，且无法回滚目标副本。,"The source object could not be moved and the target copy could not be rolled back."
移动存储对象失败。,"Failed to move storage object."
本地存储目录删除超过条目上限。,"Local storage directory deletion exceeds the item limit."
本地存储目录包含越界路径。,"The local storage directory contains a path outside its root."
删除本地存储目录内容失败。,"Failed to delete local storage directory content."
本地存储目录枚举超过条目上限。,"Local storage directory enumeration exceeds the item limit."
存储对象不存在。,"The storage object does not exist."
存储对象路径越过根目录。,"Store object paths past the root directory."
对象键必须是非空相对路径。,"Object keys must be non-null relative paths."
存储对象父路径不是目录。,"The parent path of the storage object is not a directory."
无法创建存储对象目录。,"Unable to create storage object directory."
读取本地存储对象时连续无数据进展。,"No progress was made while reading the local storage object."
"统一存储抽象层，支持本地存储、AWS S3、阿里云 OSS 等多种存储后端。","Unified storage abstraction layer supports local storage, AWS S3, Alibaba Cloud OSS and other storage backends."
存储磁盘配置数量超过迁移上限。,"The number of storage disk configurations exceeds the migration limit."
存储磁盘迁移冲突：%{1},"Storage disk migration conflict: %{1}"
"存储配置 JSON 无效。","The storage configuration JSON is invalid."
存储磁盘旧别名格式无效。,"The legacy storage disk alias is invalid."
单个存储磁盘的旧别名数量超过迁移上限。,"The number of legacy aliases for one storage disk exceeds the migration limit."
存储磁盘旧别名与内置本地磁盘冲突：%{1},"The legacy storage disk alias conflicts with the built-in local disk: %{1}"
存储磁盘旧别名存在归属冲突：%{1},"The legacy storage disk alias has conflicting ownership: %{1}"
