"BT 服务器管理","BT server management"
"BT 管理中心","BT Management Center"
服务器管理,"Server Management"
服务器不存在,"Server does not exist"
"编辑 BT 服务器","Edit BT server"
"新增 BT 服务器","Add BT Server"
无效的请求方法,"Invalid request method"
服务器名称不能为空,"Server name cannot be empty"
云平台不能为空,"Cloud platform cannot be empty"
外网面板地址不能为空,"External panel URL cannot be empty"
外网面板地址格式不正确,"Incorrect external network panel address format"
内网面板地址格式不正确,"Incorrect intranet panel address format"
用户名不能为空,"Username cannot be empty"
密码不能为空,"Password cannot be empty"
"端口范围必须在 1 到 65535 之间","Port range must be between 1 and 65535"
服务器保存成功,"Server saved successfully"
服务器保存失败：%{1},"Server save failed: %{1}"
服务器ID不能为空,"Server ID cannot be empty"
删除失败,"Deletion failed"
服务器删除成功,"Server deleted successfully"
服务器删除失败：%{1},"Server delete failed: %{1}"
"BT 服务器健康检查","BT server health check"
"每 10 分钟检查一次 BT 面板是否可访问，并在状态变化时发送通知。","Check every 10 minutes if the BT panel is accessible, and send a notification on status change."
"BT 健康检查完成：检测 %{1} 台，可访问 %{2} 台，不可访问 %{3} 台，状态变化 %{4} 台，已通知 %{5} 次","BT health check completed: %{1} stations detected, %{2} stations accessible, %{3} stations inaccessible, status changed %{4} stations, notified %{5} times"
基础设施,Infrastructure
"BT 面板可访问性监控通知","BT Panel Accessibility Monitoring Notifications"
监控地址为空,"Monitor address is empty"
"curl 初始化失败","curl initialization failed"
访问失败,"Access failed"
"HTTP 状态码 %{1}","HTTP status code %{1}"
无响应,"No Response"
未命名服务器,"Unnamed server"
地址：%{1},"Address: %{1}"
"HTTP 状态：%{1}","HTTP status: %{1}"
无,None
"响应耗时：%{1} ms","Response Duration: %{1} ms"
错误信息：%{1},"Error message: %{1}"
"BT 服务器不可访问：%{1}","BT server is inaccessible: %{1}"
"BT 服务器已恢复：%{1}","BT server restored: %{1}"
返回列表,"Back to List"
基础信息,"Basic Info"
服务器名称,"Server Name"
请输入服务器名称或标识,"Please enter the server name or identifier"
云平台,"Cloud Platform"
请选择云平台,"Please select cloud platform"
"外网 IPv4 面板地址","External network IPv4 panel address"
内网面板地址,"Internal Panel URL"
用户名,Username
密码,Password
端口,Port
监控状态,"Monitoring status"
"启用 10 分钟健康检查","Enable 10-minute health check"
备注描述,Description
请输入备注信息,"Please enter description"
保存,Save
健康检查摘要,"Health Check Summary"
最后检测,"Last check"
状态变化时间,"Status Change Time"
"HTTP 状态","HTTP status"
响应耗时,"Response Duration"
错误信息,"Error Message"
保存失败,"Save Failed"
请求失败,"Request failed"
"BT 服务器列表","BT server list"
新增服务器,"Add Server"
"健康检查定时任务每 10 分钟执行一次，检测面板地址是否可访问。","The health check scheduled task runs every 10 minutes to verify if the panel address is accessible."
全部平台,"All Platforms"
健康状态,"Health Status"
全部状态,"All Statuses"
关键词,Keyword
搜索名称、地址、用户名,"Search name"
搜索,Search
重置,Reset
服务器列表,"Server list"
ID,ID
服务器,Server
外网地址,"External URL"
监控,Monitor
操作,Actions
暂无服务器,"No servers"
用户：%{1},"User: %{1}"
端口：%{1},"Port: %{1}"
已启用,Enabled
已停用,Disabled
HTTP：%{1},HTTP：%{1}
耗时：%{1},"Time taken: %{1}"
变化：%{1},"Change: %{1}"
编辑,Edit
删除,Delete
确认删除,"Confirm deletion"
确定要删除这个服务器吗？,"Are you sure you want to delete this server?"
确定删除,"Confirm deletion"
取消,Cancel
纭畾瑕佸垹闄よ繖涓湇鍔″櫒鍚楋紵,"Are you sure you want to delete this server?"
纭鍒犻櫎,"Confirm Deletion"
纭畾鍒犻櫎,"Confirm Delete"
鍙栨秷,Cancel
