需要帮助？,"Besoin d'aide ?"
访问,Visiter
客服邮箱：,"E-mail support :"
客服电话：,"Téléphone support :"
服务时间：,"Horaires :"
地址：,"Adresse :"
此邮件由系统自动发送，请勿直接回复。如非本人操作，请忽略本邮件。,"Ce message a été envoyé automatiquement. Merci de ne pas y répondre. Si vous ne l'attendiez pas, vous pouvez l'ignorer."
来自商城的通知,"Un message de la boutique"
默认网站,"Site Web par défaut"
默认店铺,"Boutique par défaut"
系统通知,"Notification système"
通知内容,"Contenu de la notification"
信息,Information
官方商城客户服务,"Service client de la boutique officielle"
"周一至周五 9:00 - 18:00","Lun–ven 9:00–18:00"
"周一至周五 9:00 - 18:00（法定节假日除外）","Lun–ven 9:00–18:00 (sauf jours fériés)"
默认渠道,Canal par défaut
