需要帮助？,"هل تحتاج إلى مساعدة؟"
访问,زيارة
客服邮箱：,"البريد الإلكتروني للدعم:"
客服电话：,"هاتف الدعم:"
服务时间：,"ساعات الخدمة:"
地址：,العنوان:
此邮件由系统自动发送，请勿直接回复。如非本人操作，请忽略本邮件。,"تم إرسال هذه الرسالة تلقائيًا. يُرجى عدم الرد مباشرة. إذا لم تكن تتوقعها، يمكنك تجاهل هذا البريد."
来自商城的通知,"رسالة من المتجر"
默认网站,"الموقع الافتراضي"
默认店铺,"المتجر الافتراضي"
系统通知,"إشعار النظام"
通知内容,"محتوى الإشعار"
信息,معلومات
官方商城客户服务,"خدمة عملاء المتجر الرسمي"
"周一至周五 9:00 - 18:00","الإثنين–الجمعة 9:00–18:00"
"周一至周五 9:00 - 18:00（法定节假日除外）","الإثنين–الجمعة 9:00–18:00 (باستثناء العطل الرسمية)"
默认渠道,القناة الافتراضية
