"PSD 在线快速解析器","PSD Online Parser"
"PSD 在线解析与图层文字提取工具","PSD Parser and Layer Text Extractor"
"在线PSD解析器 - 免费PSD图层提取工具","Online PSD Parser - Free Layer Extraction Tool"
免费在线PSD解析工具，无需安装Photoshop即可查看PSD文件、提取图层、复制文字、下载图片。支持图层预览、文字提取、图片导出。,"Free online PSD parser. View PSD files, extract layers, copy text, and download images without Photoshop. Supports layer preview, text extraction, and image export."
"PSD在线解析,在线PS,PSD查看器,图层提取,PSD转PNG,免费PSD工具,Photoshop在线","PSD online parser,online PS,PSD viewer,layer extraction,PSD to PNG,free PSD tool,Photoshop online"
在线PSD解析器,"Online PSD Parser"
免费图层提取、文字复制、图片下载,"Free layer extraction, text copy, image download"
"点击这里选择 PSD，或把文件拖进来","Click to select PSD or drag file here"
图层列表,"Layer List"
仅显示当前可视区域的图层,"Only showing layers in visible area"
等待上传文件...,"Waiting for file..."
重置,重置
"PSD 库未加载，请检查 statics/js/psd.min.js","PSD library not loaded. Check statics/js/psd.min.js"
已复制,Copied
复制文字,"Copy text"
"正在努力加载: %{name} ...","Loading: %{name} ..."
正在深度扫描图层...,"Scanning layers..."
"已加载: %{name}","Loaded: %{name}"
重新选择,"Change file"
解析失败！文件可能损坏或版本过高。,"Parse failed. File may be corrupted or unsupported."
"解析出错，请查看控制台 F12","Parse error. Check console F12."
未找到图层,"No layers found"
当前可视区域没有图层，请滚动预览区,"No layers in visible area. Scroll the preview."
可视区域内,"In viewport"
未命名图层,"Unnamed layer"
组,Group
图层,Layer
可选中后复制,"Select to copy"
图片,Image
滚动到此处自动加载,"Scroll here to load"
无法加载,"Cannot load"
加载中...,Loading...
复制图片,"Copy image"
下载图片,"Download image"
复制失败,"Copy failed"
图片渲染跳过,"Image render skipped"
加载失败,"Load failed"
确认下载,"Confirm download"
文件名：,"File name:"
可修改保存名称,"Edit name before save"
保存目录：,"Save to:"
下载到默认/上次目录,"Download to default/last folder"
更换目录并记住,"Change folder and remember"
取消,Cancel
已选择的目录,"Selected folder"
浏览器默认下载目录,"Browser default download folder"
如需更换请点击「更换目录并记住」。,"Click ""Change folder and remember"" to change."
如需指定目录请点击「更换目录并记住」。,"Click ""Change folder and remember"" to choose a folder."
已保存到上次目录,"Saved to last folder"
写入目录失败，已改为浏览器下载,"Write to folder failed"
已保存并已记住该目录,"Saved and folder remembered"
写入失败，已改为浏览器下载,"Write failed"
"PSD 图层文字提取器","PSD Layer Text Extractor"
"解析成功: %{name}","Parsed: %{name}"
双击或三击全选复制,"Double/triple click to select and copy"
文字解析失败,"Text parse failed"
右键点击：另存为图片,"Right-click to save as image"
"图层过多（%{count} 个），仅显示前 %{max} 个","Too many layers (%{count}). Showing first %{max} only."
加载图片,"Load image"
将保存到上次选择的目录；如需更换请点击「更换目录并记住」。,"Will save to last chosen folder. Click ""Change folder and remember"" to change."
将保存到浏览器默认下载目录；如需指定目录请点击「更换目录并记住」。,"Will save to browser default download folder. Click ""Change folder and remember"" to choose a folder."
