[2026-01-08T07:30:05.582Z] 开始监控: E:\WelineFramework\DEV-workspace\
[2026-01-08T07:30:05.584Z] 目标主机: ecs-user@47.90.248.122
[2026-01-08T07:30:05.584Z] 远程路径: /www/wwwroot/site_aiweline_com
[2026-01-08T07:30:05.585Z] 监控路径: E:\WelineFramework\DEV-workspace\app
[2026-01-08T07:30:05.585Z] 包含路径: app
[2026-01-08T07:30:05.587Z] 目录新增: E:\WelineFramework\DEV-workspace\app
[2026-01-08T07:30:05.591Z] 文件新增: E:\WelineFramework\DEV-workspace\app\.DS_Store
[2026-01-08T07:30:05.591Z] 文件新增: E:\WelineFramework\DEV-workspace\app\.htaccess
[2026-01-08T07:30:05.592Z] 文件新增: E:\WelineFramework\DEV-workspace\app\bootstrap.php
[2026-01-08T07:30:05.592Z] 文件新增: E:\WelineFramework\DEV-workspace\app\bootstrap_phpunit.php
[2026-01-08T07:30:05.593Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code
[2026-01-08T07:30:05.593Z] 目录新增: E:\WelineFramework\DEV-workspace\app\design
[2026-01-08T07:30:05.593Z] 目录新增: E:\WelineFramework\DEV-workspace\app\etc
[2026-01-08T07:30:05.593Z] 目录新增: E:\WelineFramework\DEV-workspace\app\i18n
[2026-01-08T07:30:05.594Z] 目录新增: E:\WelineFramework\DEV-workspace\app\var
[2026-01-08T07:30:05.597Z] 目录新增: E:\WelineFramework\DEV-workspace\app\design\Weline
[2026-01-08T07:30:05.598Z] 文件新增: E:\WelineFramework\DEV-workspace\app\code\.DS_Store
[2026-01-08T07:30:05.598Z] 文件新增: E:\WelineFramework\DEV-workspace\app\code\.gitignore
[2026-01-08T07:30:05.598Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline
[2026-01-08T07:30:05.598Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\ChlorStore
[2026-01-08T07:30:05.599Z] 文件新增: E:\WelineFramework\DEV-workspace\app\code\ChlorStore.rar
[2026-01-08T07:30:05.599Z] 文件新增: E:\WelineFramework\DEV-workspace\app\code\config.php
[2026-01-08T07:30:05.600Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\FlashForge
[2026-01-08T07:30:05.600Z] 文件新增: E:\WelineFramework\DEV-workspace\app\code\FlashForge.rar
[2026-01-08T07:30:05.601Z] 文件新增: E:\WelineFramework\DEV-workspace\app\code\GuoLaiRen.zip
[2026-01-08T07:30:05.601Z] 文件新增: E:\WelineFramework\DEV-workspace\app\code\Shopify_Reviews.zip
