RDP远程桌面管理,"RDP remote desktop management"
"RDP Wrapper 仅支持 Windows 系统","RDP Wrapper only supports Windows systems"
"RDP Wrapper 已安装","RDP Wrapper is already installed"
安装脚本不存在：%{path},"Install script not found: %{path}"
"RDP Wrapper 安装成功","RDP Wrapper installed successfully"
"RDP Wrapper 安装失败：%{error}","RDP Wrapper installation failed: %{error}"
"仅支持 Windows 系统","Only supports Windows systems"
启用远程桌面失败，请以管理员权限运行,"Failed to enable Remote Desktop. Please run as administrator."
远程桌面已启用,"Remote Desktop has been enabled"
禁用远程桌面失败，请以管理员权限运行,"Failed to disable Remote Desktop. Please run as administrator."
远程桌面已禁用,"Remote Desktop has been disabled"
用户名和密码不能为空,"Username and password cannot be empty"
用户名格式不正确：3-20位，字母开头，仅允许字母数字下划线,"Invalid username format: 3-20 chars, starts with letter, only letters/numbers/underscores"
系统中已存在用户：%{user},"User already exists in system: %{user}"
创建用户失败：%{error},"Failed to create user: %{error}"
"用户 %{user} 创建成功","User %{user} created successfully"
用户名不能为空,"Username cannot be empty"
不允许删除系统内置用户：%{user},"Cannot delete built-in system user: %{user}"
删除用户失败：%{error},"Failed to delete user: %{error}"
"用户 %{user} 已删除","User %{user} has been deleted"
操作失败：%{error},"Operation failed: %{error}"
"用户 %{user} 已启用","User %{user} has been enabled"
"用户 %{user} 已禁用","User %{user} has been disabled"
重置密码失败：%{error},"Failed to reset password: %{error}"
"用户 %{user} 密码已重置","Password for user %{user} has been reset"
命令成功完成,"The command completed successfully"
系统管理,"System Management"
远程桌面管理,"Remote Desktop Management"
系统状态,"System Status"
刷新状态,"Refresh Status"
操作系统,"Operating System"
安装,Install
远程桌面服务,"Remote Desktop Service"
远程连接,"Remote Connection"
禁用,Disabled
启用,Enabled
计算机名,"Computer Name"
端口,Port
IP地址,"IP Address"
远程桌面未启用,"Remote Desktop Not Enabled"
"请在 Windows 设置中启用""允许远程连接""，或点击上方的""启用""按钮自动开启。","Please enable ""Allow remote connections"" in Windows Settings, or click the ""Enable"" button above to turn it on automatically."
