"Analytics Management","分析管理"
"Analytics provider config save failed.","分析服务商配置保存失败。"
"Analytics provider config saved.","分析服务商配置已保存。"
"Analytics Query","分析查询"
"Failed to persist analytics provider config.","分析服务商配置持久化失败。"
"Get analytics provider readiness and enablement states.","获取分析服务商就绪和启用状态。"
"Get enabled storefront analytics snippets by hook slot.","按钩子槽位获取已启用的店铺分析代码段。"
"Get enabled storefront analytics snippets.","获取已启用的店铺分析代码段。"
"Provides storefront analytics snippets and provider readiness data.","提供店铺分析代码段和服务商就绪数据。"
"Analytics Configuration","分析配置"
"Analytics Settings","分析设置"
"Third-party Pixel","第三方像素"
"Tracking Pixels","跟踪像素"
Enabled,启用
Disabled,禁用
"Save Configuration","保存配置"
"Conversion Tracking","转化跟踪"
"Pixel Provider","像素提供商"
"Bing Ads","Bing广告"
"Facebook Pixel","Facebook像素"
"Google Analytics","Google分析"
"TikTok Pixel","TikTok像素"
