主题通知事件,"""حدث Theme."","
"构建预览 URL 事件","إنشاء حدث عنوان URL للمعاينة"
"Theme editor result after","Theme editor result after"
"Triggered after ThemeEditor produces a string response. Payload includes action, result, controller, and request. Observers may replace result.","Triggered after ThemeEditor produces a string response. Payload includes action, result, controller, and request. Observers may replace result."
"Layout path resolve","Layout path resolve"
"Modules claim layout_path / entity_slug from the request path during FetchFileBefore when layoutType is empty.","Modules claim layout_path / entity_slug from the request path during FetchFileBefore when layoutType is empty."
字体子集预热收集,"تجميع أحرف الخطوط مسبقًا."
"系统升级预热前触发。默认已自动扫描各模块 view/fonts；可向 fonts / languages 追加额外路径或语言。已有语言子集会跳过重建。","يتم تشغيله قبل تهيئة الترقية للنظام. بشكل افتراضي، يتم مسح جميع وحدات عرض/خطوط Theme تلقائيًا. يمكنك إضافة مسارات أو لغات إضافية إلى fonts/languages. سيتم تخطي أي مجموعات لغة موجودة."
"Theme 查询器不支持的操作：%{1}","عملية غير مدعومة بواسطة Theme Query: %{1}."
当前没有可用于预览的前台主题。,"لا يوجد قالب واجهة أمامية متاح حاليًا للعرض المسبق."
生成预览凭据需要有效的后台用户上下文。,"يتطلب إنشاء بيانات الاعتماد للمعاينة سياق مستخدم خلفي صالح."
"缺少预览 token。","مفقود رمز المعاينة."
"预览 token 无效或已过期。","رمز المعاينة غير صالح أو منتهي الصلاحية."
主题模式无效。,"""نمط Theme غير صالح."","
主题模式无效：%{1},"""نمط Theme غير صالح: %{1}."","
同步成功,"تم المزامنة بنجاح."
"Theme target 布局复制必须分别指定源和目标的 Scope、语言与 target 身份。","""فشل نسخ تخطيط Theme target."","
"Theme target 布局复制身份无效。","""يجب تحديد النطاق واللغة والهوية الهدف لكل من المصدر والهدف عند نسخ تخطيط Theme target."","
"Theme target 布局复制失败。","""يوصى بالحفاظ على تنسيق JSON لحقل الإعدادات لسهولة التوسيع."","
主题查询,"""استعلام Theme."","
提供当前主题、配置值、模板路径等查询能力,"يوفر إمكانية الاستعلام عن القالب الحالي، والقيم التكوينية، ومسارات القوالب، وما إلى ذلك."
获取当前激活的主题信息,"استرداد معلومات Theme النشطة الحالية."
"可选：frontend 或 backend","اختياري: frontend أو backend."
获取主题配置值,"استرداد قيمة تكوين Theme."
获取主题配置的模板路径,"استرداد مسار قالب تكوين Theme."
扫描当前主题中指定类型的布局选项,"فحص خيارات التخطيط من النوع المحدد في القالب الحالي."
"默认 frontend","الواجهة الأمامية الافتراضية"
"列出 Theme 虚拟布局选项","""عرض إصدارات اختيار تخطيط المنتج/الفئة."","
"检查 Theme 虚拟布局是否存在","التحقق من وجود تخطيط افتراضي للقالب"
"读取 Theme 虚拟布局当前可编辑源码","قراءة الكود القابل للتحرير حاليًا لتخطيط Theme الافتراضي."
"列出 Theme 虚拟布局源码/发布版本","""عرض خيارات تخطيط Theme الافتراضية."","
"保存 Theme 虚拟布局源码版本","""فشل حفظ المعلمة %{param}: %{error}."","
"复制 Theme target 的布局选择、可视化布局和虚拟布局数据","نسخ بيانات اختيار التخطيط، والتخطيط المرئي، والتخطيط الافتراضي لـ Theme target."
"回滚 Theme 虚拟布局发布版本","التراجع عن إصدار التخطيط الافتراضي لـ Theme."
"解析当前有效 Theme 虚拟布局运行时信息","تحليل معلومات تشغيل تخطيط Theme الافتراضي الحالية."
"清理 Theme 运行时布局缓存","تنظيف ذاكرة التخزين المؤقت لتخطيطات Theme في وقت التشغيل."
"保存 Theme 布局选择","""حفظ إصدار التعليمات البرمجية الافتراضية لتخطيط Theme."","
"删除 Theme 布局选择并恢复继承","""الواجهة الأمامية تسمح بقراءة مساحة الاسم public.* فقط."","
"解析 Theme 布局选择及来源","تحليل اختيار مصدر وتخطيط Theme."
列出产品/分类布局选择版本,"""حذف اختيار تخطيط Theme واستعادة الوراثة."","
预检产品/分类布局选择版本是否可回滚,"هل يمكن التراجع عن إصدار تخطيط المنتج/الفئة المحددة مسبقًا؟"
回滚产品/分类布局选择版本,"التراجع عن إصدار اختيار التخطيط للمنتج/الفئة."
"列出产品布局 layout_option（文件壳）","列出产品布局 layout_option（文件壳）"
"新建产品布局 layout_option（克隆文件壳）","新建产品布局 layout_option（克隆文件壳）"
"解析产品详情有效 layout_option（含定时）","解析产品详情有效 layout_option（含定时）"
列出产品/分类默认产品布局定时计划,列出产品/分类默认产品布局定时计划
保存产品布局定时计划,保存产品布局定时计划
删除产品布局定时计划,删除产品布局定时计划
扫描并处理临近边界的产品布局定时计划缓存清理,扫描并处理临近边界的产品布局定时计划缓存清理
"生成 Theme 前台预览 token","إنشاء رمز معاينة Theme."
"校验 Theme 前台预览 token","التحقق من رمز معاينة الواجهة الأمامية للقالب"
"Theme editor signed backend request bridge","Theme editor signed backend request bridge"
同步后台跟随系统、亮色或暗色模式,"مزامنة الواجهة الخلفية مع وضع النظام، أو الوضع الفاتح أو الوضع الداكن."
"system、light 或 dark","""التدويل > البلد > المنطقة > القاموس."","
按区域激活主题,"تفعيل القالب حسب المنطقة"
"frontend 或 backend","""\\nتفاصيل:"","
"Theme 虚拟部件智能体","""عملية غير مدعومة بواسطة Theme query: %{1}."","
"用于生成、微调和验证 Weline Theme 的虚拟部件 JSON 与模板内容。","لإنشاء وتعديل والتحقق من مكونات Theme الافتراضية JSON ومحتوى القوالب."
"AI 查询入口不可用。","لا يمكن الوصول إلى واجهة برمجة تطبيقات الذكاء الاصطناعي للاستعلام."
"AI 调用失败：%{1}","فشل استدعاء الذكاء الاصطناعي: %{1}"
准备进入下一轮智能体调用,"""تصنيف."","
"智能体未能生成最终 JSON 输出","فشل الذكاء الاصطناعي في إنشاء إخراج JSON نهائي"
"Theme 虚拟部件生成","Theme 虚拟部件生成"
"用于主题编辑器 AI 生成/精修虚拟部件（theme_component*），与 theme_component_builder 智能体配套。","用于主题编辑器 AI 生成/精修虚拟部件（theme_component*），与 theme_component_builder 智能体配套。"
"主题 AI 适配器","""محول Theme AI."","
用于主题可视化编辑器的配置翻译、虚拟主题布局源码生成、文案生成和主题图片生成。,"تكوينات لمحرر Theme المرئي، وإنشاء مصدر تخطيط Theme افتراضي، وإنشاء نصوص، وإنشاء صور Theme."
缺少布局类型。,"مفقود نوع التخطيط."
缺少布局选项。,"مفقود خيارات التخطيط."
缺少源语言。,"مفقود اللغة المصدر."
缺少目标语言。,"مفقود اللغة المستهدفة."
"Weline 主题库","""وحدة Theme الافتراضية."","
"从 Weline 主题库中选择主题方案，支持多种布局风格。","""استخراج مساحة الاسم من المسار: %{1}."","
首页,"الصفحة الرئيسية"
关于我们,"من نحن"
联系我们,"اتصل بنا"
隐私政策,"سياسة الخصوصية"
服务条款,"شروط الخدمة"
退款政策,"سياسة الاسترجاع"
"Cookie 政策","سياسة ملفات تعريف الارتباط"
博客列表,"""صفحة قائمة مقالات المدونة."","
博客分类,"""قائمة المدونة."","
博客文章,"مقالات المدونة"
自定义页面,"صفحة مخصصة."
网站主页，展示品牌和核心内容,"الصفحة الرئيسية للموقع، تعرض العلامة التجارية والمحتوى الأساسي."
介绍品牌故事、团队和价值观,"""معلومات قابلة للقراءة يتم تحليلها من عقدة JSON info، مما يسهل التحقق من صحة الترجمة."","
提供联系方式和联系表单,"يوفر معلومات الاتصال ونموذج الاتصال"
说明隐私数据处理方式,"شرح كيفية معالجة بيانات الخصوصية."
明确服务使用条款,"موافقة على شروط الخدمة"
说明退款和退货政策,"شرح سياسة الاسترجاع."
"说明 Cookie 使用方式","شرح كيفية استخدام ملفات تعريف الارتباط."
博客文章列表页,"""صفحة تفاصيل مقالة المدونة."","
按分类查看博客文章,"عرض مقالات المدونة حسب الفئة"
博客文章详情页,"""ترجمة المعلمات."""
自定义单页面内容,"محتوى صفحة واحدة مخصصة."
"主题店面静态页（about/products 等）","主题店面静态页（about/products 等）"
任务进度,"""استخدم تنسيق JSON لتعريف هيكل بيانات التعريف الكامل."","
等待中,"في الانتظار."
执行中,"قيد التنفيذ."
成功,نجاح.
失败,فشل.
已跳过,"تم تخطيه."
正在连接...,"جاري الاتصال..."
已连接,متصل
已断开,"تم قطع الاتصال."
就绪,جاهز
复制,نسخ
清空,"مسح الكل"
已复制,"تم النسخ."
请选择,"يرجى الاختيار"
暂无数据,"لا توجد بيانات"
加载中...,"""فشل التحميل، يرجى إعادة المحاولة لاحقًا."","
搜索...,بحث...
终端输出,"الإخراج الطرفي."
连接错误,"خطأ في الاتصال"
连接失败（可能为网络问题或服务端异常），请查看下方日志或服务器终端。,"فشل الاتصال (قد يكون بسبب مشكلة في الشبكة أو خطأ في الخادم). يرجى مراجعة السجل أدناه أو الطرفية الخاصة بالخادم."
停止,"""القيم المسموح بها: %{values}."","
开始,بدء.
"【DNS 供应商返回】","""【إرجاع من مزود DNS】"","
思考输出：开（点击关闭）,"إخراج التفكير: تشغيل (انقر لإيقاف)."
思考输出：关（点击开启）,"إخراج التفكير: إيقاف (انقر لتشغيل)."
思考,تفكير.
连接重试中...,"جاري إعادة محاولة الاتصال..."
【输出过长，已省略前部】,"""【الإخراج طويل جدًا، تم حذف الجزء الأول】."","
开始日期,"تاريخ البدء"
结束日期,"تاريخ الانتهاء"
至,إلى.
今天,"""هذا العام."","
昨天,أمس
最近7天,"آخر 7 أيام"
最近30天,"آخر 30 يومًا"
本月,"هذا الشهر"
上月,"""الشهر الماضي."","
今年,"""قدم قصة العلامة التجارية والفريق والقيم."","
输入后按回车添加,"أدخل واضغط على Enter لإضافة."
移除,إزالة
已达到最大标签数量,"تم الوصول إلى الحد الأقصى لعدد العلامات."
标签已存在,"التسمية موجودة بالفعل"
标签太短,"التسمية قصيرة جدًا"
标签太长,"التسمية طويلة جدًا"
展开,توسيع
折叠,طي
