系统已安装,"System installed"
系统已经安装完成，安装器已禁用。,"The system has been installed. The installer is disabled."
系统安装,"System Installation"
环境检测,"Environment Check"
数据库配置,"Database Configuration"
管理员设置,"Admin Settings"
安装完成,"Installation Complete"
安装器已禁用,"Installer Disabled"
环境检测失败：%{error},"Environment check failed: %{error}"
无效的表单密钥,"Invalid form key"
"请使用 SSE 接口获取安装进度","Please use SSE endpoint to get installation progress"
环境修复失败：%{error},"Environment fix failed: %{error}"
开始环境修复...,"Starting environment fix..."
正在收集环境需求...,"Collecting environment requirements..."
正在检测环境...,"Checking environment..."
环境检测通过，无需修复,"Environment check passed, no fix needed"
"尝试解禁函数: %{funcs}","Trying to unblock functions: %{funcs}"
函数解禁成功,"Functions unblocked successfully"
未知,Unknown
函数解禁失败,"Failed to unblock functions"
"从 disable_functions 中移除: %{funcs}","Remove from disable_functions: %{funcs}"
"重启 PHP 后刷新页面","Restart PHP and refresh the page"
"扩展 %{ext} 需要手动安装","Extension %{ext} needs manual installation"
未命名,Unnamed
"跳过 %{name}（无模块路径）","Skipping %{name} (no module path)"
"正在安装: %{name}","Installing: %{name}"
"%{name} 安装成功","%{name} installed successfully"
"%{name} 安装失败","%{name} installation failed"
重新检测环境...,"Re-checking environment..."
部分问题仍未修复，请手动处理,"Some issues remain, please fix manually"
环境修复完成,"Environment fix complete"
修复过程出错,"Error during fix"
数据库连接失败：%{error},"Database connection failed: %{error}"
数据库配置已保存,"Database configuration saved"
保存配置失败：%{error},"Failed to save configuration: %{error}"
安装失败：%{error},"Installation failed: %{error}"
"从 https://pecl.php.net 下载 php_%{ext}.dll","Download php_%{ext}.dll from https://pecl.php.net"
"放入 PHP 的 ext 目录","Put it in PHP ext directory"
"在 php.ini 中添加 extension=%{ext}","Add extension=%{ext} to php.ini"
"重启 Web 服务","Restart web server"
"Ubuntu/Debian: sudo apt install php-%{ext}","Ubuntu/Debian: sudo apt install php-%{ext}"
"CentOS/RHEL: sudo yum install php-%{ext}","CentOS/RHEL: sudo yum install php-%{ext}"
"macOS: brew install php && pecl install %{ext}","macOS: brew install php && pecl install %{ext}"
"重启 PHP-FPM 或 Web 服务","Restart PHP-FPM or web server"
"Weline Framework","Weline Framework"
系统安装向导,"Installation Wizard"
点击下方按钮开始检测环境...,"Click the button below to start environment check..."
检测结果,"Check Results"
开始检测,"Start Check"
尝试修复,"Try Fix"
下一步,Next
数据库类型,"Database Type"
主机地址,Host
端口,Port
数据库名,"Database Name"
用户名,Username
密码,Password
数据库文件路径,"Database File Path"
表前缀,"Table Prefix"
测试连接,"Test Connection"
后台入口密钥（留空自动生成）,"Admin URL Key (leave empty to auto-generate)"
例如：admin_secret_key,"e.g.: admin_secret_key"
"访问后台的 URL 路径，如：/your_key/login","URL path to access admin, e.g.: /your_key/login"
"API 后台入口密钥（留空自动生成）","API Admin URL Key (leave empty to auto-generate)"
例如：api_secret_key,"e.g.: api_secret_key"
完成安装,"Complete Installation"
恭喜！系统已成功安装。请妥善保存以下信息：,"Congratulations! System installed successfully. Please save the following information:"
进入后台,"Go to Admin"
开始环境检测...,"Starting environment check..."
"环境检测通过 ✓","Environment check passed ✓"
通过,Passed
环境检测未通过,"Environment check failed"
未通过,Failed
缺失扩展,"Missing extensions"
被禁用函数,"Disabled functions"
检测失败,"Check failed"
请求失败,"Request failed"
位置,Location
操作,Action
修复完成,"Fix complete"
部分问题仍需手动处理,"Some issues still need manual fix"
连接中断,"Connection lost"
测试中...,Testing...
连接成功！,"Connection successful!"
连接失败,"Connection failed"
安装中...,Installing...
后台入口密钥,"Admin URL Key"
"API 后台密钥","API Admin Key"
后台地址,"Admin URL"
安装失败,"Installation failed"
返回首页,"Back to Home"
