无效的筛选配置,"Invalid filter configuration"
筛选配置已保存,"Filter configuration saved"
"保存失败: %1","保存失败: %1"
无效的价格区间配置,"Invalid price range configuration"
价格区间已保存,"Price ranges saved"
分类筛选缓存已清除,"Category filter cache cleared"
所有筛选缓存已清除,"All filter cache cleared"
"清除缓存失败: %1","清除缓存失败: %1"
"Invalid category ID.","Invalid category ID."
"Missing required filter parameters.","Missing required filter parameters."
筛选器收集,"Filter collection"
收集所有可用的筛选器，其他模块可通过此事件添加自定义筛选,"Collect all available filters; other modules can add custom filters via this event"
筛选条件应用前,"Before applying filters"
在应用筛选条件前触发，允许修改筛选参数,"Fired before applying filters; allows modifying filter params"
筛选条件应用后,"After applying filters"
在应用筛选条件后触发，允许处理筛选结果,"Fired after applying filters; allows processing result"
筛选选项收集,"Filter options collection"
收集指定筛选器的选项，允许其他模块修改选项,"Collect Options for Specified Filter, Allowing Other Modules to Modify Options"
筛选计数收集,"Filter count collection"
收集筛选选项的产品计数,"Collect product counts for filter options"
筛选缓存清除,"Filter cache clear"
筛选缓存被清除时触发,"Fired when filter cache is cleared"
"Unsupported filter provider operation: %{1}","Unsupported filter provider operation: %{1}"
"Filter Query","Filter Query"
"Provides frontend category filter operations through the worker API.","Provides frontend category filter operations through the worker API."
"Return available options for one filter.","Return available options for one filter."
"Return filter option counts.","Return filter option counts."
筛选容器,"Filter container"
筛选区域的主容器，包含所有筛选组件,"Main filter area container for all filter components"
筛选头部,"Filter header"
已选条件,"Selected criteria"
筛选组容器,"Filter groups container"
筛选底部,"Filter footer"
筛选区域的头部，包含标题和清除全部按钮,"Filter header with title and clear-all button"
显示当前已选择的筛选条件标签,"Show currently selected filter criteria tags"
价格筛选,"Price filter"
价格区间筛选组件，支持预设区间、动态区间、滑块三种模式,"Price range filter with preset, dynamic, and slider modes"
评分筛选,"Rating filter"
用户评分筛选组件，显示星级评分选项,"Customer rating filter with star options"
品牌筛选,"Brand filter"
品牌筛选组件，支持EAV属性或独立品牌模块,"Brand filter supporting EAV or brand module"
库存筛选,"Stock filter"
库存状态筛选组件，如有货、缺货等,"Stock status filter (in stock, out of stock, etc.)"
配送筛选,"Shipping filter"
配送方式筛选组件，如免运费、当日达等,"Shipping filter (free shipping, same day, etc.)"
新品筛选,"New arrivals filter"
新品筛选组件,"New arrivals filter component"
促销筛选,"Deals filter"
促销/折扣商品筛选组件,"Deals and discount filter component"
EAV属性筛选,"EAV attribute filter"
动态EAV属性筛选组件，根据分类配置的可筛选属性动态渲染,"Dynamic EAV attribute filter by category config"
属性组筛选,"Attribute group filter"
按属性组展示筛选属性,"Show filter attributes by group"
筛选结果数量,"Filter result count"
显示筛选后的产品数量,"Show product count after filtering"
分类筛选配置,"Category filter configuration"
在分类编辑页面配置可筛选属性,"Configure filterable attributes on category edit"
及以上,"and above"
低于,Under
品牌,Brand
颜色,Color
材质,Material
新品,"New Arrivals"
新品上市,"New Product Launch"
价格区间,"Price Range"
用户评分,"Customer Reviews"
促销,"On Sale"
促销商品,"Promotional Items"
9折及以上,"10% off or more"
8折及以上,"20% off or more"
7折及以上,"30% off or more"
5折及以上,"50% off or more"
Shipping,Shipping
"Free Shipping","Free Shipping"
"Same Day Delivery","Same Day Delivery"
"Next Day Delivery","Next Day Delivery"
"Express Delivery","Express Delivery"
尺寸,Size
库存状态,Availability
有货,"In Stock"
缺货,"Out of Stock"
鏈夎揣,"In Stock"
缂鸿揣,"Out of stock"
库存紧张,"Low Stock"
筛选条件,Filters
清除全部,"Clear All"
移除,Remove
展开更多筛选,"Show More Filters"
收起筛选,"Show Less"
"共 %{count} 件商品","Total %{count} Items"
该分类下暂无商品,"No products in this category yet."
"Filter Configuration","Filter Configuration"
"Manage global storefront filters and decide which options are shown first.","Manage global storefront filters and decide which options are shown first."
"Price Ranges","Price Ranges"
"Clear Filter Cache","Clear Filter Cache"
"Global Filter Switches","Global Filter Switches"
Enabled,Enabled
"Sort Order","Sort Order"
"Display Type","Display Type"
List,List
Chips,Chips
Dropdown,Dropdown
"Collapsed By Default","Collapsed By Default"
No,No
Yes,Yes
"No filter providers are currently available.","No filter providers are currently available."
"Save Global Filter Config","Save Global Filter Config"
"Filter Summary","Filter Summary"
"Registered Providers","Registered Providers"
"EAV Attributes","EAV Attributes"
"Filterable Attributes","Filterable Attributes"
"No filterable product attributes found.","No filterable product attributes found."
"Price Range Configuration","Price Range Configuration"
"Define price buckets used by the storefront filter panel.","Define price buckets used by the storefront filter panel."
"Back to Filter Config","Back to Filter Config"
"Category ID","Category ID"
"Use 0 to apply globally.","Use 0 to apply globally."
Ranges,Ranges
Sort,Sort
Label,Label
Min,Min
Max,Max
"e.g. Budget","e.g. Budget"
"e.g. Under 100","e.g. Under 100"
"Save Price Ranges","Save Price Ranges"
