博客分类,"Categorías del blog"
"分类 ID 不能为空","分类 ID 不能为空"
"博客文章 sitemap URL 提供器","博客文章 sitemap URL 提供器"
博客,Blog
标题（选填）,标题（选填）
一句话概括您的观点,一句话概括您的观点
评论内容,评论内容
"请至少填写 10 个字符，分享您的阅读感受。","请至少填写 10 个字符，分享您的阅读感受。"
添加图片,添加图片
添加视频,添加视频
您的称呼（游客选填）,您的称呼（游客选填）
邮箱（游客选填，不公开）,邮箱（游客选填，不公开）
匿名展示这条评论,匿名展示这条评论
"评论标题不能超过 120 个字符。","评论标题不能超过 120 个字符。"
"评论内容需要 10 到 2000 个字符。","评论内容需要 10 到 2000 个字符。"
"称呼不能超过 120 个字符。","称呼不能超过 120 个字符。"
邮箱格式不正确。,邮箱格式不正确。
游客,游客
已登录客户,已登录客户
编辑,编辑
全部语言,全部语言
博客文章已保存。,博客文章已保存。
"正文编辑器暂未就绪，请确认文章标题、Slug 与站点已保存后再刷新页面。","正文编辑器暂未就绪，请确认文章标题、Slug 与站点已保存后再刷新页面。"
正文编辑器加载失败：%{1},正文编辑器加载失败：%{1}
"Slug 已生成","Slug 已生成"
博客文章已删除。,博客文章已删除。
草稿,草稿
已发布,已发布
已禁用,已禁用
博客文章,博客文章
管理博客文章,管理博客文章
博客文章列表,博客文章列表
查看博客文章,查看博客文章
保存博客文章,保存博客文章
创建或更新博客文章,创建或更新博客文章
"AI 生成博客 Slug","AI 生成博客 Slug"
"使用翻译 AI 生成博客 slug","使用翻译 AI 生成博客 slug"
删除博客文章,删除博客文章
关键词,关键词
面包屑,面包屑
文章,文章
展开/收起,展开/收起
"订阅 RSS","Suscribirse al RSS"
正在加载评论...,正在加载评论...
评论列表,评论列表
评论分页,评论分页
上一页,上一页
下一页,下一页
第,第
页,页
评论加载失败，请稍后重试。,评论加载失败，请稍后重试。
暂时还没有已审核的评论，欢迎分享第一条真实体验。,暂时还没有已审核的评论，欢迎分享第一条真实体验。
条评论,条评论
正在上传媒体并提交评论...,正在上传媒体并提交评论...
评论暂时无法提交，请稍后再试。,评论暂时无法提交，请稍后再试。
评论表单加载失败，请刷新页面重试。,评论表单加载失败，请刷新页面重试。
预览模式：表单仅供排版查看，请到真实博客页提交。,预览模式：表单仅供排版查看，请到真实博客页提交。
"最多选择 6 张图片，单张不超过 10 MB。","最多选择 6 张图片，单张不超过 10 MB。"
"最多选择 2 个视频，单个不超过 50 MB。","最多选择 2 个视频，单个不超过 50 MB。"
所选媒体文件数量或大小超过限制。,所选媒体文件数量或大小超过限制。
评论图片,评论图片
视频,视频
移除,移除
提交评论,提交评论
请填写评论内容。,请填写评论内容。
写评论,写评论
收起评论表单,收起评论表单
查看图片,查看图片
播放视频,播放视频
关闭预览,关闭预览
评论媒体预览,评论媒体预览
博客评论,博客评论
支持的评论媒体,支持的评论媒体
"最多 6 张图片","最多 6 张图片"
"最多 2 个视频","最多 2 个视频"
文字评论,文字评论
分享您的阅读感受,分享您的阅读感受
"撰写图文 / 视频评论","撰写图文 / 视频评论"
正在加载评论表单...,正在加载评论表单...
支持匿名或登录评论；媒体与扩展字段会和评论一起进入审核。,支持匿名或登录评论；媒体与扩展字段会和评论一起进入审核。
"共 %{1} 条","共 %{1} 条"
文章列表,文章列表
未命名文章,未命名文章
博客文章封面,博客文章封面
作者,作者
更新于,更新于
分钟阅读,分钟阅读
相关文章,相关文章
暂无文章,暂无文章
返回博客,返回博客
页面,页面
博客页面,博客页面
未命名页面,未命名页面
全部文章,全部文章
管理当前网站下的博客文章与发布状态,管理当前网站下的博客文章与发布状态
"万能分类 · 博客","万能分类 · 博客"
新建文章,新建文章
网站,网站
语言,语言
状态,状态
搜索,搜索
重置,重置
封面,封面
"标题 / Slug","标题 / Slug"
范围,范围
"语言 / 分类 / 状态","语言 / 分类 / 状态"
更新时间,更新时间
全部状态,全部状态
文章分页,文章分页
"第 %{1} / %{2} 页","第 %{1} / %{2} 页"
返回列表,返回列表
预览,预览
文章设置,文章设置
"站点、语言与 slug 决定前台访问路径；保存后可在下方编辑正文。","站点、语言与 slug 决定前台访问路径；保存后可在下方编辑正文。"
站点,站点
标题,标题
Slug,Slug
恢复标题自动联动,恢复标题自动联动
"AI 处理","AI 处理"
"前台路径为 /blog/{slug}；标题自动联动为音译 slug（非 AI）；需翻译优化时点 AI 处理。","前台路径为 /blog/{slug}；标题自动联动为音译 slug（非 AI）；需翻译优化时点 AI 处理。"
摘要,摘要
点击选择封面,点击选择封面
"建议 1200×630，支持 jpg / png / webp，单张不超过 2 MB。","建议 1200×630，支持 jpg / png / webp，单张不超过 2 MB。"
作者职称,作者职称
"作者主页 URL","作者主页 URL"
"作者 sameAs","作者 sameAs"
作者简介,作者简介
分类,分类
无分类,无分类
保存文章设置,保存文章设置
新窗口打开编辑器,新窗口打开编辑器
正文编辑,正文编辑
"使用 Theme 可视化编辑器排版正文内容与区块。","使用 Theme 可视化编辑器排版正文内容与区块。"
编辑器已就绪,编辑器已就绪
"未安装 CMS 模块，正文请在结构化字段中维护。","未安装 CMS 模块，正文请在结构化字段中维护。"
"先保存文章设置，然后直接在这里进行 Theme 可视化编辑。","先保存文章设置，然后直接在这里进行 Theme 可视化编辑。"
编辑文章,编辑文章
"调整元信息、封面与发布状态，正文在下方 Theme 编辑器中维护","调整元信息、封面与发布状态，正文在下方 Theme 编辑器中维护"
"先保存文章设置，再进入 Theme 可视化编辑正文","先保存文章设置，再进入 Theme 可视化编辑正文"
输入文章标题,输入文章标题
"例如 hello-world","例如 hello-world"
"一句话概括文章要点，用于列表与 SEO","一句话概括文章要点，用于列表与 SEO"
封面预览,封面预览
如：汉服研究员,如：汉服研究员
"https 档案链接，逗号分隔","https 档案链接，逗号分隔"
逗号分隔,逗号分隔
"Theme 可视化编辑","Theme 可视化编辑"
分类名称不能为空,分类名称不能为空
分类不存在,分类不存在
不能将自己作为父分类,不能将自己作为父分类
父分类不存在,父分类不存在
博客分类最多支持两级,博客分类最多支持两级
不能将分类移动到其子孙节点下,不能将分类移动到其子孙节点下
含子分类的节点只能放在顶级,含子分类的节点只能放在顶级
"博客 slug 无效。","博客 slug 无效。"
"博客 slug 已被其他文章占用：%{1}","博客 slug 已被其他文章占用：%{1}"
"博客 slug 与 CMS blog 页面冲突：%{1}","博客 slug 与 CMS blog 页面冲突：%{1}"
"博客 slug 不能为空。","博客 slug 不能为空。"
博客文章不存在。,博客文章不存在。
未命名分类,未命名分类
技术分享,技术分享
产品动态,产品动态
公司新闻,公司新闻
