Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,互补产品 (product.metafields.shopify--discovery--product_recommendation.complementary_products),相关产品 (product.metafields.shopify--discovery--product_recommendation.related_products),相关产品设置 (product.metafields.shopify--discovery--product_recommendation.related_products_display),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
2017-us-flag-forever-first-class-rate-stamps,Booklet 2017 US Flag Forever First-Class Rate Stamps,"<p>These stamps will always be equal in value to the current domestic one-ounce letter postage price.?</p>
<p>These self-adhesive stamps are being issued in Booklet of 20.</p>
<p>This product is sold in 5 Booklets(total 100 pcs).</p>",Hawk,,"","",true,Style,5 Books of 20 (100 Stamps),,,,,,,,052-GQZ*1,0.0,shopify,1000,deny,manual,29.99,73.00,true,false,,https://cdn.shopify.com/s/files/1/0722/0081/4838/files/1_736159fd-a376-46e5-aaaf-96e5729c511e.jpg?v=1729504199,1,"",false,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
2017-us-flag-forever-first-class-rate-stamps,,,,,,,,,15 Books of 20 (300 Stamps),,,,,,,,052-GQZ*3,0.0,shopify,1000,deny,manual,71.98,219.00,true,false,,https://cdn.shopify.com/s/files/1/0722/0081/4838/files/2_620b1fa2-8e45-47eb-9356-80c3d98b2b0c.jpg?v=1729504199,2,"",,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
2017-us-flag-forever-first-class-rate-stamps,,,,,,,,,25 Books of 20 (500 Stamps),,,,,,,,052-GQZ*5,0.0,shopify,1000,deny,manual,104.97,365.00,true,false,,https://cdn.shopify.com/s/files/1/0722/0081/4838/files/3_8af30e9a-644b-44af-8ef7-4621e442b765.jpg?v=1729504199,3,"",,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
2017-us-flag-forever-first-class-rate-stamps,,,,,,,,,50 Books of 20 (1000 Stamps),,,,,,,,052-GQZ*10,0.0,shopify,1000,deny,manual,199.99,730.00,true,false,,https://cdn.shopify.com/s/files/1/0722/0081/4838/files/4_65cfd620-0eb8-4fa7-9e44-89fe705858ba.jpg?v=1729504199,4,"",,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
2017-us-flag-forever-first-class-rate-stamps,,,,,,,,,250 Books of 20 (5000 Stamps),,,,,,,,052-GQZ*50,0.0,shopify,1000,deny,manual,899.70,3650.00,true,false,,https://cdn.shopify.com/s/files/1/0722/0081/4838/files/5_9b3d02ba-772b-4579-86c0-06df89100c42.jpg?v=1729504199,5,"",,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
2017-us-flag-forever-first-class-rate-stamps,,,,,,,,,500 Books of 20 (10000 Stamps),,,,,,,,052-GQZ*100,0.0,shopify,1000,deny,manual,1699.99,7300.00,true,false,,https://cdn.shopify.com/s/files/1/0722/0081/4838/files/6_2e202a51-45fa-4297-89a0-7bfd5fde1a32.jpg?v=1729504199,6,"",,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
booklet-2018-us-flag-forever-first-class-postage-stamps,Booklet 2018 US Flag Forever First-Class Postage Stamps,"<p>These stamps will always be equal in value to the current domestic one-ounce letter postage price.?</p>
<p>These self-adhesive stamps are being issued in Booklet of 20.</p>
<p>This product is sold in 5 Booklets(total 100 pcs).</p>",Hawk,,"","",true,Style,5 Books of 20 (100 Stamps),,,,,,,,119-GQZ*1,0.0,shopify,1000,deny,manual,29.99,73.00,true,false,,https://cdn.shopify.com/s/files/1/0722/0081/4838/files/1_f414dc76-842c-4045-85ac-2e99c680ef47.jpg?v=1729504188,1,"",false,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
booklet-2018-us-flag-forever-first-class-postage-stamps,,,,,,,,,15 Books of 20 (300 Stamps),,,,,,,,119-GQZ*3,0.0,shopify,1000,deny,manual,71.98,219.00,true,false,,https://cdn.shopify.com/s/files/1/0722/0081/4838/files/2_dee9156f-1038-411d-a01a-925e842f3935.jpg?v=1729504188,2,"",,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
booklet-2018-us-flag-forever-first-class-postage-stamps,,,,,,,,,25 Books of 20 (500 Stamps),,,,,,,,119-GQZ*5,0.0,shopify,1000,deny,manual,104.97,365.00,true,false,,https://cdn.shopify.com/s/files/1/0722/0081/4838/files/3_2c416975-e2e9-45ee-b0d0-45ec37322ab4.jpg?v=1729504188,3,"",,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
booklet-2018-us-flag-forever-first-class-postage-stamps,,,,,,,,,50 Books of 20 (1000 Stamps),,,,,,,,119-GQZ*10,0.0,shopify,1000,deny,manual,199.99,730.00,true,false,,https://cdn.shopify.com/s/files/1/0722/0081/4838/files/4_9566be0b-c032-406f-aa19-b147473544be.jpg?v=1729504188,4,"",,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
