product_handle,name,email,rating,customer_image,review_title,review_body,reply,date(yyyy-mm-dd),review_image1,review_image2,review_image3,review_image4,review_image5,review_type
2023-us-flag-forever-stamps-roll,"Justin Julia",default@thimatic.com,5,https://thimatic-apps.com/product_review/uploads/customer_img_111027_1730785105_6729af51a67ff.jpg,,"Beautiful stamps! Great detail and vibrant colors.",,"2024/05/12 12:00:00",,,,,,CSV
2023-us-flag-forever-stamps-roll,"Justin Julia",default@thimatic.com,5,https://thimatic-apps.com/product_review/uploads/customer_img_111027_1730785147_6729af7b32ec1.jpg,,"Beautiful stamps! Great detail and vibrant colors.",,"2024/05/12 12:00:00",,,,,,CSV
2023-us-flag-forever-stamps-roll,StampLover92,default@thimatic.com,5,,,Stunning!,,"2022/06/27 12:00:00",,,,,,CSV
2023-us-flag-forever-stamps-roll,CollectorsDream,default@thimatic.com,5,,,"Absolutely beautiful and collectible.",,"2023/11/08 12:00:00",,,,,,CSV
2023-us-flag-forever-stamps-roll,PhilatelyFan,default@thimatic.com,5,,,"Incredible details and vibrant colors.",,"2023/09/24 12:00:00",,,,,,CSV
2023-us-flag-forever-stamps-roll,ArtsyCollector,default@thimatic.com,5,,,"Exquisite design, love the craftsmanship!",,"2023/02/15 12:00:00",,,,,,CSV
2023-us-flag-forever-stamps-roll,RareFind,default@thimatic.com,5,,,"Very unique.",,"2022/03/11 12:00:00",,,,,,CSV
2023-us-flag-forever-stamps-roll,MiniArtFan,default@thimatic.com,5,,,"Amazing artwork; it's like mini paintings.",,"2023/07/30 12:00:00",,,,,,CSV
2023-us-flag-forever-stamps-roll,VintageStampLover,default@thimatic.com,5,,,Beautiful!,,"2022/12/20 12:00:00",,,,,,CSV
2023-us-flag-forever-stamps-roll,philatelic_dreamer,default@thimatic.com,5,,,"Perfect for any stamp lover.",,"2023/05/12 12:00:00",,,,,,CSV
2023-us-flag-forever-stamps-roll,StampManiac,default@thimatic.com,5,,,"Great quality, really impressed!",,"2022/05/09 12:00:00",,,,,,CSV
2023-us-flag-forever-stamps-roll,ArtInStamps,default@thimatic.com,5,,,"Every piece is a masterpiece.",,"2023/01/07 12:00:00",,,,,,CSV
2019-us-flag-forever-stamps-booklet,mini_stampfan,default@thimatic.com,5,,,"Full of historical value, very meaningful.",,"2024/10/25 12:00:00",,,,,,CSV
2019-us-flag-forever-stamps-booklet,DetailObsessed,default@thimatic.com,5,,,"Excellent color and precision in design.",,"2024/10/12 12:00:00",,,,,,CSV
2019-us-flag-forever-stamps-booklet,ClassicCollector,default@thimatic.com,5,,,"Gorgeous stamps, really add character to my collection.",,"2024/09/08 12:00:00",,,,,,CSV
2019-us-flag-forever-stamps-booklet,JustForFun,default@thimatic.com,5,,,Nice.,,"2024/08/23 12:00:00",,,,,,CSV
2019-us-flag-forever-stamps-booklet,StampGuru,default@thimatic.com,5,,,"Fantastic quality and aesthetic appeal!",,"2024/07/15 12:00:00",,,,,,CSV
2019-us-flag-forever-stamps-booklet,PhilatelicEnthusiast,default@thimatic.com,5,,,"True work of art, worth the investment.",,"2024/06/04 12:00:00",,,,,,CSV
2019-us-flag-forever-stamps-booklet,RareStampFan,default@thimatic.com,5,,,"Detailed, colorful, and truly collectible.",,"2024/05/20 12:00:00",,,,,,CSV
2019-us-flag-forever-stamps-booklet,SeriesAddict,default@thimatic.com,5,,,"Love this series!",,"2024/04/07 12:00:00",,,,,,CSV
2019-us-flag-forever-stamps-booklet,HappyCollector,default@thimatic.com,5,,,"Very pleased with the quality.",,"2023/12/30 12:00:00",,,,,,CSV
2019-us-flag-forever-stamps-booklet,AlbumLover,default@thimatic.com,5,,,"Rich designs and amazing variety; perfect for my album.",,"2023/11/14 12:00:00",,,,,,CSV
2023-us-flag-forever-stamps-roll,QuickCollector,default@thimatic.com,5,,,Perfect!,,"2024/10/06 12:00:00",,,,,,CSV
2023-us-flag-forever-stamps-roll,StampJoy,default@thimatic.com,5,,,"Beautifully detailed stamps, really a joy to look at.",,"2024/09/22 12:00:00",,,,,,CSV
