进店音乐,"स्टोर संगीत"
settings,settings
进店音乐与氛围播放配置,"स्टोर संगीत और माहौल प्लेबैक सेटिंग्स"
查看进店音乐配置,"स्टोर संगीत सेटिंग्स देखें"
查看进店音乐曲目与播放配置,"ट्रैक और प्लेबैक सेटिंग्स देखें"
播放控制,"प्लेबैक नियंत्रण"
上一首,पिछला
播放,चलाएँ
停止,रोकें
停止播放,"बंद करें"
下一首,अगला
"请先同意营销 Cookie 后再播放","चलाने से पहले मार्केटिंग कुकी स्वीकार करें"
点击开启音乐,"संगीत चलाने के लिए टैप करें"
点击开启声音,"अनम्यूट करने के लिए टैप करें"
波形不可用,"वेवफ़ॉर्म उपलब्ध नहीं"
开启波形,"वेवफ़ॉर्म चालू करें"
关闭波形,"वेवफ़ॉर्म बंद करें"
播放中,"चल रहा है"
当前浏览器暂不支持此音频格式,"यह ब्राउज़र इस ऑडियो फ़ॉर्मैट को नहीं चलाता"
音频加载失败，请换一首曲目或格式,"ऑडियो लोड नहीं हुआ, कोई और ट्रैक या फ़ॉर्मैट आज़माएँ"
已关闭自动播放，点击播放可重新开启,"ऑटोप्ले बंद है, चलाने के लिए क्लिक करें"
已在其他页面播放,"दूसरे पेज पर चल रहा है"
播放列表,प्लेलिस्ट
"共 {n} 首","{n} ट्रैक"
点开选曲,"ट्रैक चुनने के लिए खोलें"
选择曲目聆听,"सुनने के लिए ट्रैक चुनें"
音量,आवाज़
配置写入当前作用范围；可多选曲目、拖拽排序，并为简介按语言填写。启用且至少一首曲目后，店面左下角显示进店音乐浮层。,"सेटिंग्स वर्तमान स्कोप पर लागू होती हैं। कई ट्रैक चुनें, खींचकर क्रम बदलें और भाषा के अनुसार परिचय भरें। सक्षम और कम से कम एक ट्रैक होने पर स्टोर के नीचे बाएँ संगीत विजेट दिखता है।"
在统一配置中心打开,"एकीकृत कॉन्फ़िग केंद्र में खोलें"
作用范围,स्कोप
进店曲目,"प्रवेश ट्रैक"
"可多选 mp3 / wav / ogg / m4a / aac / flac / opus / wma 等，单文件最大约 20MB。拖动手柄调整顺序；简介按下方语言分别填写。变更后自动写入当前范围。","mp3 / wav / ogg / m4a / aac / flac / opus / wma आदि बहु-चयन। प्रति फ़ाइल अधिकतम ≈20MB। क्रम बदलने के लिए खींचें; नीचे भाषा के अनुसार परिचय भरें। वर्तमान स्कोप में स्वतः सहेजा जाता है।"
简介编辑语言,"परिचय संपादन भाषा"
切换语言后可为每首曲目填写对应简介；店面按访客语言展示。,"भाषा बदलने के बाद प्रत्येक ट्रैक का परिचय भरें; स्टोर विज़िटर की भाषा दिखाता है।"
尚未选择曲目。请用上方媒体库添加多首进店音乐。,"अभी कोई ट्रैक नहीं। ऊपर मीडिया लाइब्रेरी से प्रवेश संगीत जोड़ें।"
拖拽排序,"खींचकर क्रम बदलें"
曲名,शीर्षक
简介,परिचय
选择进店音乐（可多选）,"प्रवेश संगीत चुनें (बहु)"
选择作用范围,"स्कोप चुनें"
搜索作用范围,"स्कोप खोजें"
折叠,समेटें
展开,"विस्तार करें"
未找到匹配作用范围,"कोई मेल खाता स्कोप नहीं मिला"
进店氛围音乐,"स्टोर माहौल संगीत"
关闭选曲,"ट्रैक चयन बंद करें"
