进店音乐,"Musique boutique"
settings,Paramètres
进店音乐与氛围播放配置,"Paramètres de musique et d’ambiance boutique"
查看进店音乐配置,"Voir les paramètres de musique boutique"
查看进店音乐曲目与播放配置,"Voir les pistes et le réglage de lecture"
"优先在主题编辑器「部件配置」中编辑进店音乐。本页写入当前作用范围的系统配置，作 Hook 兜底；部件曲目为空时店面回退读取此处。可多选曲目、拖拽排序，并为简介按语言填写。","优先在主题编辑器「部件配置」中编辑进店音乐。本页写入当前作用范围的系统配置，作 Hook 兜底；部件曲目为空时店面回退读取此处。可多选曲目、拖拽排序，并为简介按语言填写。"
在统一配置中心打开,"Ouvrir dans le centre de config unifié"
作用范围,Portée
进店曲目,"Pistes d’entrée"
"可多选 mp3 / wav / ogg / m4a / aac / flac / opus / wma 等，单文件最大约 20MB。拖动手柄调整顺序；简介按下方语言分别填写。变更后自动写入当前范围。","Sélection multiple mp3 / wav / ogg / m4a / aac / flac / opus / wma, etc. Max ≈20 Mo par fichier. Glissez pour réordonner ; renseignez les intros par langue. Enregistrement auto sur la portée actuelle."
简介编辑语言,"Langue d’édition de l’intro"
切换语言后可为每首曲目填写对应简介；店面按访客语言展示。,"Après changement de langue, renseignez l’intro de chaque piste ; la boutique affiche la langue du visiteur."
尚未选择曲目。请用上方媒体库添加多首进店音乐。,"Aucune piste. Ajoutez de la musique d’entrée via la médiathèque ci-dessus."
拖拽排序,"Glisser pour réordonner"
曲名,Titre
简介,Intro
选择进店音乐（可多选）,"Choisir la musique d’entrée (multi)"
配置写入当前作用范围；可多选曲目、拖拽排序，并为简介按语言填写。启用且至少一首曲目后，店面左下角显示进店音乐浮层。,"Les réglages s’appliquent à la portée actuelle. Sélection multiple, glisser pour réordonner, intros par langue. Activé avec au moins une piste, le widget apparaît en bas à gauche de la boutique."
选择作用范围,"Choisir la portée"
搜索作用范围,"Rechercher des portées"
折叠,Réduire
展开,Développer
未找到匹配作用范围,"Aucune portée correspondante"
播放控制,"Commandes de lecture"
上一首,Précédent
播放,Lecture
停止,Arrêt
停止播放,"Arrêter la lecture"
下一首,Suivant
"请先同意营销 Cookie 后再播放","Acceptez les cookies marketing avant de lire"
点击开启音乐,"Appuyez pour lancer la musique"
点击开启声音,"Appuyez pour réactiver le son"
波形不可用,"Forme d’onde indisponible"
开启波形,"Activer la forme d’onde"
关闭波形,"Désactiver la forme d’onde"
播放中,"Lecture en cours"
当前浏览器暂不支持此音频格式,"Ce navigateur ne prend pas en charge ce format audio"
音频加载失败，请换一首曲目或格式,"Échec du chargement audio. Essayez une autre piste ou un autre format."
已关闭自动播放，点击播放可重新开启,"Lecture auto désactivée. Appuyez sur lecture pour reprendre."
已在其他页面播放,"Lecture sur une autre page"
播放列表,Playlist
"共 {n} 首","{n} pistes"
展开简介,"Afficher l’intro"
收起简介,"Masquer l’intro"
点开选曲,"Ouvrir le sélecteur de pistes"
选择曲目聆听,"Choisissez une piste à écouter"
音量,Volume
进店氛围音乐,"Musique d’ambiance boutique"
关闭选曲,"Fermer le sélecteur de pistes"
搜索歌曲…,"Rechercher des titres…"
未找到匹配曲目,"Aucun titre correspondant"
搜索播放列表,"Rechercher dans la playlist"
