进店音乐,"Музыка магазина"
settings,Настройки
进店音乐与氛围播放配置,"Настройки музыки и атмосферы магазина"
查看进店音乐配置,"Показать настройки музыки магазина"
查看进店音乐曲目与播放配置,"Показать треки и настройки воспроизведения"
"优先在主题编辑器「部件配置」中编辑进店音乐。本页写入当前作用范围的系统配置，作 Hook 兜底；部件曲目为空时店面回退读取此处。可多选曲目、拖拽排序，并为简介按语言填写。","优先在主题编辑器「部件配置」中编辑进店音乐。本页写入当前作用范围的系统配置，作 Hook 兜底；部件曲目为空时店面回退读取此处。可多选曲目、拖拽排序，并为简介按语言填写。"
在统一配置中心打开,"Открыть в едином центре настроек"
作用范围,"Область действия"
进店曲目,"Входные треки"
"可多选 mp3 / wav / ogg / m4a / aac / flac / opus / wma 等，单文件最大约 20MB。拖动手柄调整顺序；简介按下方语言分别填写。变更后自动写入当前范围。","Множественный выбор mp3 / wav / ogg / m4a / aac / flac / opus / wma и др. Макс. ~20 МБ на файл. Ручки для сортировки; описания ниже по языкам. Изменения сохраняются автоматически."
简介编辑语言,"Язык редактирования описания"
切换语言后可为每首曲目填写对应简介；店面按访客语言展示。,"После смены языка заполните описание каждого трека; витрина показывает язык посетителя."
尚未选择曲目。请用上方媒体库添加多首进店音乐。,"Треков пока нет. Добавьте входную музыку через медиатеку выше."
拖拽排序,"Сортировка перетаскиванием"
曲名,Название
简介,Описание
选择进店音乐（可多选）,"Выбрать входную музыку (несколько)"
配置写入当前作用范围；可多选曲目、拖拽排序，并为简介按语言填写。启用且至少一首曲目后，店面左下角显示进店音乐浮层。,"Настройки применяются к текущей области. Можно выбрать несколько треков, перетащить для сортировки и заполнить описания по языкам. При включении и наличии хотя бы одного трека виджет появится слева внизу."
选择作用范围,"Выбрать область"
搜索作用范围,"Поиск областей"
折叠,Свернуть
展开,Развернуть
未找到匹配作用范围,"Подходящих областей нет"
播放控制,"Управление воспроизведением"
上一首,Назад
播放,Воспроизвести
停止,Стоп
停止播放,"Остановить воспроизведение"
下一首,Далее
"请先同意营销 Cookie 后再播放","Примите маркетинговые cookie перед воспроизведением"
点击开启音乐,"Нажмите, чтобы включить музыку"
点击开启声音,"Нажмите, чтобы включить звук"
波形不可用,"Осциллограмма недоступна"
开启波形,"Включить осциллограмму"
关闭波形,"Выключить осциллограмму"
播放中,Воспроизводится
当前浏览器暂不支持此音频格式,"Этот браузер не поддерживает данный аудиоформат"
音频加载失败，请换一首曲目或格式,"Не удалось загрузить аудио. Попробуйте другой трек или формат."
已关闭自动播放，点击播放可重新开启,"Автовоспроизведение выключено. Нажмите «Воспроизвести», чтобы продолжить."
已在其他页面播放,"Воспроизводится на другой странице"
播放列表,Плейлист
"共 {n} 首","{n} треков"
展开简介,"Показать описание"
收起简介,"Скрыть описание"
点开选曲,"Открыть выбор треков"
选择曲目聆听,"Выберите трек"
音量,Громкость
进店氛围音乐,"Атмосферная музыка магазина"
关闭选曲,"Закрыть выбор треков"
搜索歌曲…,"Поиск треков…"
未找到匹配曲目,"Совпадений нет"
搜索播放列表,"Поиск в плейлисте"
