进店音乐,"Música da loja"
settings,settings
进店音乐与氛围播放配置,"Configurações de música e atmosfera da loja"
查看进店音乐配置,"Ver configurações de música da loja"
查看进店音乐曲目与播放配置,"Ver faixas e configurações de reprodução"
播放控制,"Controles de reprodução"
上一首,Anterior
播放,Reproduzir
停止,Parar
停止播放,"Parar reprodução"
下一首,Próxima
"请先同意营销 Cookie 后再播放","Aceite cookies de marketing antes de reproduzir"
点击开启音乐,"Toque para tocar a música"
点击开启声音,"Toque para ativar o som"
波形不可用,"Forma de onda indisponível"
开启波形,"Ativar forma de onda"
关闭波形,"Desativar forma de onda"
播放中,Reproduzindo
当前浏览器暂不支持此音频格式,"Este navegador não oferece este formato de áudio"
音频加载失败，请换一首曲目或格式,"Falha ao carregar o áudio. Tente outra faixa ou formato."
已关闭自动播放，点击播放可重新开启,"A reprodução automática está desligada. Toque em reproduzir para retomar."
已在其他页面播放,"Reproduzindo em outra página"
播放列表,Playlist
"共 {n} 首","{n} faixas"
点开选曲,"Abrir seletor de faixas"
选择曲目聆听,"Escolha uma faixa para ouvir"
音量,Volume
配置写入当前作用范围；可多选曲目、拖拽排序，并为简介按语言填写。启用且至少一首曲目后，店面左下角显示进店音乐浮层。,"As configurações valem para o escopo atual. Seleção múltipla, arraste para reordenar e intros por idioma. Com pelo menos uma faixa ativa, o widget aparece no canto inferior esquerdo."
在统一配置中心打开,"Abrir no centro de configuração unificado"
作用范围,Escopo
进店曲目,"Faixas de entrada"
"可多选 mp3 / wav / ogg / m4a / aac / flac / opus / wma 等，单文件最大约 20MB。拖动手柄调整顺序；简介按下方语言分别填写。变更后自动写入当前范围。","Seleção múltipla mp3 / wav / ogg / m4a / aac / flac / opus / wma, etc. Máx. ≈20 MB por arquivo. Arraste para reordenar; preencha intros por idioma. Salva automaticamente no escopo atual."
简介编辑语言,"Idioma de edição da intro"
切换语言后可为每首曲目填写对应简介；店面按访客语言展示。,"Após mudar o idioma, preencha a intro de cada faixa; a loja mostra o idioma do visitante."
尚未选择曲目。请用上方媒体库添加多首进店音乐。,"Ainda não há faixas. Adicione música de entrada pela biblioteca de mídia acima."
拖拽排序,"Arrastar para reordenar"
曲名,Título
简介,Intro
选择进店音乐（可多选）,"Selecionar música de entrada (múltipla)"
选择作用范围,"Selecionar escopo"
搜索作用范围,"Pesquisar escopos"
折叠,Recolher
展开,Expandir
未找到匹配作用范围,"Nenhum escopo correspondente"
进店氛围音乐,"Música ambiente da loja"
关闭选曲,"Fechar seletor de faixas"
