账户首页资产分区,"Account overview asset section"
在顾客账户首页注入余额、预占与返还等资产账本内容。,"Show balance, reservation, and return ledger content on the customer account overview."
诊断暂时无法执行。参考编号：%{1},"Diagnosis cannot be performed at the moment. Reference number: %{1}"
"仅允许 POST 请求。","Only POST requests are allowed."
操作失败，请稍后重试。参考编号：%{1},"The operation failed, please try again later. Reference number: %{1}"
数据暂时无法加载。参考编号：%{1},"The data cannot be loaded temporarily. Reference number: %{1}"
状态暂时无法读取。参考编号：%{1},"The status cannot be read at the moment. Reference number: %{1}"
客户资产,"customer assets"
circle,circle
客户资产账户、预留、结算、退回与一致性诊断,"Client asset accounts, reservations, settlements, returns and consistency diagnostics"
资产账户,"asset account"
user,user
查看客户资产账户,"View client asset accounts"
资产账本,"Asset ledger"
book,book
查看客户资产账本,"View customer asset ledger"
资产预留,"Asset reservation"
clock,clock
查看客户资产预留,"View client asset reservations"
资产结算,"Asset settlement"
cash,cash
查看已结算客户资产,"View settled client assets"
资产退回,"Asset return"
查看已退回客户资产,"View returned customer assets"
一致性异常,"Consistency exception"
warning,warning
只读诊断客户资产一致性异常,"Read-only diagnosis of customer asset consistency exceptions"
迁移状态,"Migration status"
eye,eye
只读查看客户资产迁移状态,"Read-only view of customer asset migration status"
资产入账,"Asset recording"
plus,plus
向隔离命名空间资产账户入账,"Debit to isolated namespace asset account"
预留资产,"reserved assets"
创建客户资产预留,"Create a customer asset reservation"
结算资产,"settlement assets"
提交资产预留结算,"Submit asset reservation settlement"
退回资产,"Return assets"
退回已结算资产,"Return settled assets"
"CustomerAsset customer_id 非法","CustomerAsset customer_id is illegal"
"CustomerAsset website_id 不能为负数：%{1}","CustomerAsset website_id cannot be negative: %{1}"
"CustomerAsset asset_code 非法","CustomerAsset asset_code is illegal"
"CustomerAsset 余额或版本非法","CustomerAsset balance or version is illegal"
"CustomerAsset CAS token 非法","CustomerAsset CAS token is illegal"
"CustomerAsset ledger 必填字段为空：%{1}","CustomerAsset ledger required field is empty: %{1}"
"CustomerAsset ledger event_type 非法","CustomerAsset ledger event_type illegal"
"CustomerAsset ledger 数值或 hash 非法","CustomerAsset ledger value or hash is illegal"
"CustomerAsset reservation 必填字段为空：%{1}","CustomerAsset reservation required field is empty: %{1}"
"CustomerAsset reservation 数值非法","CustomerAsset reservation value is illegal"
"CustomerAsset reservation status 非法","CustomerAsset reservation status is illegal"
"CustomerAsset reservation hash/CAS 非法","CustomerAsset reservation hash/CAS is illegal"
我的资产,"My assets"
查看余额与最近变动,"View balance and recent changes"
"余额、预占与返还记录由 CustomerAsset 账本提供。","Balance, reservation, and return records are provided by the CustomerAsset ledger."
当前站点的资产余额与最近账本记录。,"The current site’s asset balance and recent ledger records."
当前站点,"current site"
需要登录,"Login required"
登录后可查看当前站点的资产余额和最近变动。,"After logging in, you can view the asset balance and recent changes of the current site."
暂时无法读取资产,"The asset cannot be read at the moment"
请稍后重试；资产账本不会因此发生变化。,"Please try again later; the asset ledger will not be changed as a result."
还没有资产账户,"No asset account yet"
"使用支持的储值、积分或 WCoin 后，余额会显示在这里。","After using supported stored value, points or WCoin, your balance will be displayed here."
