客服消息翻译,カスタマーサービスメッセージ翻訳
客服模块通过此事件请求翻译服务。事件数据包含待翻译文本、源语言、目标语言等。翻译模块可以监听此事件并提供翻译服务。,カスタマーサービスモジュールは、このイベントを通じて翻訳サービスをリクエストします。イベントデータには、翻訳対象のテキスト、ソース言語、ターゲット言語などが含まれます。翻訳モジュールはこのイベントを監視し、翻訳サービスを提供できます。
客服邮箱绑定验证,客服邮箱绑定验证
客户绑定邮箱时的验证邮件,客户绑定邮箱时的验证邮件
验证链接,验证链接
待绑定邮箱,待绑定邮箱
"Unsupported customer service provider operation: %{1}","Unsupported customer service provider operation: %{1}"
"Missing URL","Missing URL"
"Unsupported customer service admin path","Unsupported customer service admin path"
"Controller missing: %{1}","Controller missing: %{1}"
"Session and message content are required.","Session and message content are required."
"Session ID is required.","Session ID is required."
上传成功,上传成功
上传失败：%{1},上传失败：%{1}
"Language code is required.","Language code is required."
"Language updated.","Language updated."
"Please enter a valid email address.","Please enter a valid email address."
"Session token is required.","Session token is required."
人机验证服务暂不可用，已切换为本地图码，请填写后重试,人机验证服务暂不可用，已切换为本地图码，请填写后重试
人机验证未完成，请再试一次,人机验证未完成，请再试一次
人机验证失败或已过期，请重试,人机验证失败或已过期，请重试
"Unable to send verification email. Please try again later.","Unable to send verification email. Please try again later."
"Verification email has been sent.","Verification email has been sent."
"Customer Service Query","Customer Service Query"
"Provides frontend customer-service chat operations through the worker API.","Provides frontend customer-service chat operations through the worker API."
在线客服,在线客服
默认已启用在线客服（当前范围无覆盖关闭）。,默认已启用在线客服（当前范围无覆盖关闭）。
已继承上级范围启用在线客服。,已继承上级范围启用在线客服。
已启用在线客服入口。,已启用在线客服入口。
"启用前台客服与默认语言；可选 AI 模型。","启用前台客服与默认语言；可选 AI 模型。"
服务,服务
在线客服入口,在线客服入口
客服聊天,カスタマーサービスチャット
获取会话失败：%{1},セッションの取得に失敗しました：%{1}
消息内容不能为空,メッセージ内容は空にできません
无效的会话ID,無効なセッションID
发送消息失败：%{1},メッセージの送信に失敗しました：%{1}
获取消息失败：%{1},メッセージの取得に失敗しました：%{1}
语言代码不能为空,言語コードは空にできません
语言设置成功,言語設定に成功しました
设置语言失败：%{1},言語設定に失敗しました：%{1}
人机验证加载失败，请稍后重试,人机验证加载失败，请稍后重试
邮箱地址不能为空,メールアドレスは空にできません
邮箱格式不正确,メールアドレスの形式が正しくありません
会话令牌不能为空,セッショントークンは空にできません
验证邮件已发送，请查收,確認メールを送信しました。ご確認ください
发送验证邮件失败，请稍后重试,確認メールの送信に失敗しました。しばらくしてから再試行してください
发送验证邮件失败：%{1},確認メールの送信に失敗しました：%{1}
验证令牌不能为空,確認トークンは空にできません
验证令牌无效或已过期,確認トークンが無効または期限切れです
邮箱绑定成功,メールアドレスの紐付けに成功しました
邮箱绑定失败，请稍后重试,メールアドレスの紐付けに失敗しました。しばらくしてから再試行してください
验证失败：%{1},確認に失敗しました：%{1}
客服人员管理,客服人员管理
加载客服人员失败：%{1},サービス担当者の読み込みに失敗しました：%{1}
客服名称不能为空,サービス担当者名は空にできません
请选择后台用户,バックエンドユーザーを選択してください
客服人员不存在,サービス担当者が存在しません
保存成功,保存に成功しました
保存失败：%{1},保存に失敗しました：%{1}
无效的客服ID,無効な担当者ID
"该客服仍有 %{1} 个未关闭会话，请先转让给其他客服或释放回等待池后再删除","该客服仍有 %{1} 个未关闭会话，请先转让给其他客服或释放回等待池后再删除"
删除成功,削除に成功しました
"删除成功，已转让 %{1} 个会话给 %{2}","删除成功，已转让 %{1} 个会话给 %{2}"
"删除成功，已将 %{1} 个会话释放回等待池","删除成功，已将 %{1} 个会话释放回等待池"
删除失败：%{1},削除に失敗しました：%{1}
请选择源客服与目标客服,请选择源客服与目标客服
没有可转让的未关闭会话,没有可转让的未关闭会话
"已转让 %{1} 个会话给 %{2}","已转让 %{1} 个会话给 %{2}"
转让失败：%{1},转让失败：%{1}
获取成功,取得に成功しました
获取统计数据失败：%{1},統計データの取得に失敗しました：%{1}
客服人员,客服人员
user,user
查看客服人员,查看客服人员
保存客服人员,保存客服人员
save,save
删除客服人员,删除客服人员
trash,trash
转让客服会话,转让客服会话
share,share
将会话转让给其他客服,将会话转让给其他客服
查看客服统计,查看客服统计
chart,chart
会话管理,セッション管理
加载会话失败：%{1},セッションの読み込みに失敗しました：%{1}
会话不存在,セッションが存在しません
会话详情,セッション詳細
加载会话详情失败：%{1},セッション詳細の読み込みに失敗しました：%{1}
会话已关闭,セッションが閉じられました
关闭会话失败：%{1},セッションの閉鎖に失敗しました：%{1}
message,message
查看会话,查看会话
查看会话详情,查看会话详情
eye,eye
关闭会话,セッションを閉じる
close,close
客服配置,サービス設定
settings,settings
客服配置管理,客服配置管理
查看客服配置,查看客服配置
您不是客服人员，无法使用工作台,サービス担当者ではないため、コンソールを使用できません
客服工作台,カスタマーサービスコンソール
加载工作台失败：%{1},コンソールの読み込みに失敗しました：%{1}
您不是客服人员,サービス担当者ではありません
获取会话列表失败：%{1},セッションリストの取得に失敗しました：%{1}
无权访问此会话,このセッションにアクセスする権限がありません
发送成功,送信に成功しました
会话已被分配,セッションは既に割り当てられています
已达到最大会话数限制,最大セッション数に達しました
分配成功,割り当てに成功しました
分配会话失败：%{1},セッションの割り当てに失敗しました：%{1}
无权关闭此会话,このセッションを閉じる権限がありません
获取客服状态失败：%{1},担当者ステータスの取得に失敗しました：%{1}
获取话术失败：%{1},获取话术失败：%{1}
标题和内容不能为空,标题和内容不能为空
话术不存在,话术不存在
保存话术失败：%{1},保存话术失败：%{1}
无效的话术ID,无效的话术ID
删除话术失败：%{1},删除话术失败：%{1}
分类名不能为空,分类名不能为空
分类已创建,分类已创建
保存分类失败：%{1},保存分类失败：%{1}
该分类下还有话术，请先移出或删除,该分类下还有话术，请先移出或删除
分类已删除,分类已删除
删除分类失败：%{1},删除分类失败：%{1}
客服聊天工作台,客服聊天工作台
查看工作台,查看工作台
查看客服工作台,查看客服工作台
确认操作,确认操作
确定,确定
取消,キャンセル
等待中,待機中
暂无消息,メッセージがありません
接单,受注
当前没有等待中的会话,当前没有等待中的会话
当前没有转让进来的会话,当前没有转让进来的会话
你转出的会话只显示在接收方工作台的「转让分配」中。,你转出的会话只显示在接收方工作台的「转让分配」中。
暂无进行中的会话,暂无进行中的会话
有等待中的会话时，点击「接单」开始接待。,有等待中的会话时，点击「接单」开始接待。
"收到 %{1} 个会话的新消息","收到 %{1} 个会话的新消息"
新消息,新消息
"会话 #%{1} 有 %{2} 条新消息","会话 #%{1} 有 %{2} 条新消息"
"会话 #%{1} 有新消息","会话 #%{1} 有新消息"
转让会话,转让会话
转让,转让
来自客服「__AGENT__」,来自客服「__AGENT__」
来自其他客服,来自其他客服
加载会话失败,加载会话失败
加载会话失败，请稍后重试,加载会话失败，请稍后重试
加载更早消息失败,加载更早消息失败
加载更早消息失败，请稍后重试,加载更早消息失败，请稍后重试
